table_key	scenario	experiment	scheduler	split_hint	llm_rps	other_rps_raw	other_rps_scaled	status	returncode	elapsed_seconds	env_updates	env_removals	command	log	err
llm-1-ggnn	llm-ggnn	llm-1-ggnn-1	mps-30		1	1	0.100	ok	0	256.77	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/mps-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/mps-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"		/home/rtx/miniconda3/envs/MorphX/bin/python run.py --use-multiprocess --use-mps --mps-percentage 30 --enable-llm --model llama-3-8b --dataset sharegpt --input-length 2048 --output-length 2048 --rps 1 --time 180.0 --enable-ggnn --ggnn-rps 1 --ggnn-base-size 1000000 --ggnn-query-size 10000	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/mps-30.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/mps-30.err
llm-1-ggnn	llm-ggnn	llm-1-ggnn-1	mps-50		1	1	0.100	ok	0	268.97	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/mps-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/mps-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"		/home/rtx/miniconda3/envs/MorphX/bin/python run.py --use-multiprocess --use-mps --mps-percentage 50 --enable-llm --model llama-3-8b --dataset sharegpt --input-length 2048 --output-length 2048 --rps 1 --time 180.0 --enable-ggnn --ggnn-rps 1 --ggnn-base-size 1000000 --ggnn-query-size 10000	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/mps-50.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/mps-50.err
llm-1-ggnn	llm-ggnn	llm-1-ggnn-1	orion		1	1	0.100	ok	0	230.85	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"		/home/rtx/miniconda3/envs/MorphX/bin/python run.py --use-orion --enable-llm --model llama-3-8b --dataset sharegpt --input-length 2048 --output-length 2048 --rps 1 --time 180.0 --enable-ggnn --ggnn-rps 1 --ggnn-base-size 1000000 --ggnn-query-size 10000	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/orion.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/orion.err
llm-1-ggnn	llm-ggnn	llm-1-ggnn-1	MorphX	76	1	1	0.100	ok	0	246.78	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64"", ""LD_PRELOAD"": ""/mnt/data/rtx/gpu/sm-sched/runtime/build/libcuda.so:/mnt/data/rtx/gpu/sm-sched/runtime/build/libpreload.so"", ""MorphX"": ""LD_PRELOAD=/mnt/data/rtx/gpu/sm-sched/runtime/build/libcuda.so:/mnt/data/rtx/gpu/sm-sched/runtime/build/libpreload.so"", ""MorphX_SPLIT_HINT"": ""76""}"		/home/rtx/miniconda3/envs/MorphX/bin/python run.py --enable-llm --model llama-3-8b --dataset sharegpt --input-length 2048 --output-length 2048 --rps 1 --time 180.0 --enable-ggnn --ggnn-rps 1 --ggnn-base-size 1000000 --ggnn-query-size 10000	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/MorphX.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/MorphX.err
llm-1-ggnn	llm-ggnn	llm-1-ggnn-1	stream		1	1	0.100	ok	0	230.73	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"		/home/rtx/miniconda3/envs/MorphX/bin/python run.py --enable-llm --model llama-3-8b --dataset sharegpt --input-length 2048 --output-length 2048 --rps 1 --time 180.0 --enable-ggnn --ggnn-rps 1 --ggnn-base-size 1000000 --ggnn-query-size 10000	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/stream.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/stream.err
llm-1-ggnn	llm-ggnn	llm-1-ggnn-1	tgs		1	1	0.100	ok	0	242.96	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64"", ""TGS_HIGH"": ""LD_PRELOAD=/mnt/data/rtx/gpu/sm-sched/TGS/hijack/high-priority-lib/libcontroller.so:/mnt/data/rtx/gpu/sm-sched/TGS/hijack/high-priority-lib/libcuda.so:/mnt/data/rtx/gpu/sm-sched/TGS/hijack/high-priority-lib/libcuda.so.1:/mnt/data/rtx/gpu/sm-sched/TGS/hijack/high-priority-lib/libnvidia-ml.so:/mnt/data/rtx/gpu/sm-sched/TGS/hijack/high-priority-lib/libnvidia-ml.so.1"", ""TGS_LOW"": ""LD_PRELOAD=/mnt/data/rtx/gpu/sm-sched/TGS/hijack/low-priority-lib/libcontroller.so:/mnt/data/rtx/gpu/sm-sched/TGS/hijack/low-priority-lib/libcuda.so:/mnt/data/rtx/gpu/sm-sched/TGS/hijack/low-priority-lib/libcuda.so.1:/mnt/data/rtx/gpu/sm-sched/TGS/hijack/low-priority-lib/libnvidia-ml.so:/mnt/data/rtx/gpu/sm-sched/TGS/hijack/low-priority-lib/libnvidia-ml.so.1""}"		/home/rtx/miniconda3/envs/MorphX/bin/python run.py --use-multiprocess --use-tgs --enable-llm --model llama-3-8b --dataset sharegpt --input-length 2048 --output-length 2048 --rps 1 --time 180.0 --enable-ggnn --ggnn-rps 1 --ggnn-base-size 1000000 --ggnn-query-size 10000	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/tgs.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/tgs.err
llm-1-ggnn	llm-ggnn	llm-1-ggnn-1	timeslice		1	1	0.100	ok	0	243.39	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"		/home/rtx/miniconda3/envs/MorphX/bin/python run.py --use-multiprocess --enable-llm --model llama-3-8b --dataset sharegpt --input-length 2048 --output-length 2048 --rps 1 --time 180.0 --enable-ggnn --ggnn-rps 1 --ggnn-base-size 1000000 --ggnn-query-size 10000	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/timeslice.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-1/timeslice.err
llm-1-ggnn	llm-ggnn	llm-1-ggnn-2	mps-30		1	2	0.200	ok	0	258.02	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/mps-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/mps-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"		/home/rtx/miniconda3/envs/MorphX/bin/python run.py --use-multiprocess --use-mps --mps-percentage 30 --enable-llm --model llama-3-8b --dataset sharegpt --input-length 2048 --output-length 2048 --rps 1 --time 180.0 --enable-ggnn --ggnn-rps 2 --ggnn-base-size 1000000 --ggnn-query-size 10000	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-2/mps-30.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-2/mps-30.err
llm-1-ggnn	llm-ggnn	llm-1-ggnn-2	mps-50		1	2	0.200	ok	0	269.15	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/mps-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/mps-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"		/home/rtx/miniconda3/envs/MorphX/bin/python run.py --use-multiprocess --use-mps --mps-percentage 50 --enable-llm --model llama-3-8b --dataset sharegpt --input-length 2048 --output-length 2048 --rps 1 --time 180.0 --enable-ggnn --ggnn-rps 2 --ggnn-base-size 1000000 --ggnn-query-size 10000	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-2/mps-50.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-2/mps-50.err
llm-1-ggnn	llm-ggnn	llm-1-ggnn-2	orion		1	2	0.200	ok	0	232.25	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"		/home/rtx/miniconda3/envs/MorphX/bin/python run.py --use-orion --enable-llm --model llama-3-8b --dataset sharegpt --input-length 2048 --output-length 2048 --rps 1 --time 180.0 --enable-ggnn --ggnn-rps 2 --ggnn-base-size 1000000 --ggnn-query-size 10000	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-2/orion.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part1-colocate/logs/colocate/llm-ggnn/llm-1-ggnn-2/orion.err
