metric             	value_ms	mps-30	mps-50	orion	MorphX	stream	tgs  	timeslice
p99<=25ms_completed	25      	0     	0     	0.094	0.094  	0     	0.067	0.094    
p99<=30ms_completed	30      	0     	0.404 	0.205	0.404  	0.206 	0.067	0.205    
p99<=35ms_completed	35      	0.094 	0.589 	0.404	0.589  	0.404 	0.067	0.404    
p99<=40ms_completed	40      	0.205 	0.783 	0.589	0.589  	0.589 	0.116	0.404    
p99<=45ms_completed	45      	0.589 	0.783 	0.589	0.794  	0.589 	0.116	0.589    
p99<=25ms_other_rps	25      	0     	0     	0.010	0.010  	0     	0.020	0.010    
p99<=30ms_other_rps	30      	0     	0.040 	0.020	0.040  	0.020 	0.020	0.020    
p99<=35ms_other_rps	35      	0.010 	0.060 	0.040	0.060  	0.040 	0.020	0.040    
p99<=40ms_other_rps	40      	0.020 	0.100 	0.060	0.060  	0.060 	0.040	0.040    
p99<=45ms_other_rps	45      	0.060 	0.100 	0.060	0.080  	0.060 	0.040	0.060    
