metric             	value_ms	mps-30	mps-50	orion	MorphX	stream	tgs  	timeslice
p99<=40ms_completed	40      	0     	0     	0.176	0.176  	0.176 	0.176	0.176    
p99<=50ms_completed	50      	0     	0.176 	0.397	0.594  	0.397 	0.397	0.397    
p99<=60ms_completed	60      	0     	0.593 	0.594	0.787  	0.594 	0.397	0.397    
p99<=70ms_completed	70      	0     	0.861 	0.594	0.787  	0.594 	0.594	0.594    
p99<=80ms_completed	80      	0     	0.861 	0.788	0.987  	0.594 	0.594	0.594    
p99<=40ms_other_rps	40      	0     	0     	0.200	0.200  	0.200 	0.200	0.200    
p99<=50ms_other_rps	50      	0     	0.200 	0.400	0.600  	0.400 	0.400	0.400    
p99<=60ms_other_rps	60      	0     	0.600 	0.600	0.800  	0.600 	0.400	0.400    
p99<=70ms_other_rps	70      	0     	1     	0.600	0.800  	0.600 	0.600	0.600    
p99<=80ms_other_rps	80      	0     	1     	0.800	1      	0.600 	0.600	0.600    
