metric             	value_ms	mps-30	mps-50	orion	MorphX	stream	tgs  	timeslice
p99<=25ms_completed	25      	0     	0.089 	0.176	0.176  	0.176 	0.089	0.176    
p99<=27ms_completed	27      	0     	0.397 	0.397	0.397  	0.397 	0.176	0.176    
p99<=29ms_completed	29      	0     	0.804 	0.397	0.397  	0.397 	0.397	0.397    
p99<=30ms_completed	30      	0     	0.804 	0.397	0.594  	0.397 	0.397	0.397    
p99<=31ms_completed	31      	0     	0.804 	0.397	0.986  	0.397 	0.397	0.397    
p99<=33ms_completed	33      	0.089 	0.804 	0.397	1.156  	0.397 	0.397	0.397    
p99<=35ms_completed	35      	0.594 	0.804 	0.594	1.156  	0.594 	0.397	0.397    
p99<=40ms_completed	40      	1.202 	0.804 	0.787	1.156  	0.787 	0.594	0.594    
p99<=45ms_completed	45      	1.202 	0.804 	0.787	1.156  	0.787 	0.786	0.594    
p99<=50ms_completed	50      	1.202 	0.804 	0.787	1.156  	0.787 	0.786	0.787    
p99<=60ms_completed	60      	1.202 	0.804 	0.991	1.156  	0.993 	0.786	0.787    
p99<=70ms_completed	70      	1.202 	0.861 	0.991	1.156  	0.993 	0.998	0.987    
p99<=80ms_completed	80      	1.202 	0.861 	1.193	1.156  	1.194 	1.070	1.189    
p99<=25ms_other_rps	25      	0     	0.100 	0.200	0.200  	0.200 	0.100	0.200    
p99<=27ms_other_rps	27      	0     	0.400 	0.400	0.400  	0.400 	0.200	0.200    
p99<=29ms_other_rps	29      	0     	1.200 	0.400	0.400  	0.400 	0.400	0.400    
p99<=30ms_other_rps	30      	0     	1.200 	0.400	0.600  	0.400 	0.400	0.400    
p99<=31ms_other_rps	31      	0     	1.200 	0.400	1      	0.400 	0.400	0.400    
p99<=33ms_other_rps	33      	0.100 	1.200 	0.400	1.600  	0.400 	0.400	0.400    
p99<=35ms_other_rps	35      	0.600 	1.200 	0.600	1.600  	0.600 	0.400	0.400    
p99<=40ms_other_rps	40      	1.400 	1.200 	0.800	1.600  	0.800 	0.600	0.600    
p99<=45ms_other_rps	45      	1.400 	1.200 	0.800	1.600  	0.800 	0.800	0.600    
p99<=50ms_other_rps	50      	1.400 	1.200 	0.800	1.600  	0.800 	0.800	0.800    
p99<=60ms_other_rps	60      	1.400 	1.200 	1    	1.600  	1     	0.800	0.800    
p99<=70ms_other_rps	70      	1.400 	1     	1    	1.600  	1     	1.200	1        
p99<=80ms_other_rps	80      	1.400 	1     	1.200	1.600  	1.200 	1.400	1.400    
