table	row_id	config	output_config	variant	rps	input_length	output_length	split_hint	status	returncode	elapsed_seconds	env_updates	env_removals	command	config_path	log	err
Figure13	1	in-2048-out-256-rps-1-split-76	in-2048-out-256-rps-1	baseline	1.000	2048	256	76	ok	0	200.10	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"	MorphX,MorphX_SPLIT_HINT,VLLM_PREFILL_THREAD,LD_PRELOAD	/home/rtx/miniconda3/envs/MorphX/bin/python /mnt/data/rtx/gpu/sm-sched/scripts/test-pd-online.py /mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-1-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-1-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-1-split-76/baseline.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-1-split-76/baseline.err
Figure13	1	in-2048-out-256-rps-1-split-76	in-2048-out-256-rps-1	MorphX	1.000	2048	256	76	ok	0	201.36	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64"", ""LD_PRELOAD"": ""/mnt/data/rtx/gpu/sm-sched/runtime/build/libcuda.so:/mnt/data/rtx/gpu/sm-sched/runtime/build/libpreload.so"", ""MorphX"": ""LD_PRELOAD=/mnt/data/rtx/gpu/sm-sched/runtime/build/libcuda.so:/mnt/data/rtx/gpu/sm-sched/runtime/build/libpreload.so MorphX_LLM_TRICK_MODE=0 MorphX_LLM_TRACE_LIMIT=0"", ""MorphX_LLM_TRACE_LIMIT"": ""0"", ""MorphX_LLM_TRICK_MODE"": ""0"", ""MorphX_SPLIT_HINT"": ""76"", ""VLLM_PREFILL_THREAD"": ""1""}"	MorphX,MorphX_SPLIT_HINT	/home/rtx/miniconda3/envs/MorphX/bin/python /mnt/data/rtx/gpu/sm-sched/scripts/test-pd-online.py /mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-1-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-1-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-1-split-76/MorphX.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-1-split-76/MorphX.err
Figure13	1	in-2048-out-256-rps-1-split-76	in-2048-out-256-rps-1	stream	1.000	2048	256	76	ok	0	199.70	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64"", ""VLLM_PREFILL_THREAD"": ""1""}"	MorphX,MorphX_SPLIT_HINT,LD_PRELOAD	/home/rtx/miniconda3/envs/MorphX/bin/python /mnt/data/rtx/gpu/sm-sched/scripts/test-pd-online.py /mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-1-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-1-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-1-split-76/stream.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-1-split-76/stream.err
Figure13	1	in-2048-out-256-rps-1-split-76	in-2048-out-256-rps-1	chunked	1.000	2048	256	76	ok	0	199.04	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"	MorphX,MorphX_SPLIT_HINT,VLLM_PREFILL_THREAD,LD_PRELOAD	/home/rtx/miniconda3/envs/MorphX/bin/python /mnt/data/rtx/gpu/sm-sched/scripts/test-pd-online.py /mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-1-split-76.json --enable-chunked-prefill	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-1-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-1-split-76/chunked.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-1-split-76/chunked.err
Figure13	2	in-2048-out-256-rps-2-split-76	in-2048-out-256-rps-2	baseline	2.000	2048	256	76	ok	0	199.41	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"	MorphX,MorphX_SPLIT_HINT,VLLM_PREFILL_THREAD,LD_PRELOAD	/home/rtx/miniconda3/envs/MorphX/bin/python /mnt/data/rtx/gpu/sm-sched/scripts/test-pd-online.py /mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-2-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-2-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-2-split-76/baseline.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-2-split-76/baseline.err
Figure13	2	in-2048-out-256-rps-2-split-76	in-2048-out-256-rps-2	MorphX	2.000	2048	256	76	ok	0	201.55	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64"", ""LD_PRELOAD"": ""/mnt/data/rtx/gpu/sm-sched/runtime/build/libcuda.so:/mnt/data/rtx/gpu/sm-sched/runtime/build/libpreload.so"", ""MorphX"": ""LD_PRELOAD=/mnt/data/rtx/gpu/sm-sched/runtime/build/libcuda.so:/mnt/data/rtx/gpu/sm-sched/runtime/build/libpreload.so MorphX_LLM_TRICK_MODE=0 MorphX_LLM_TRACE_LIMIT=0"", ""MorphX_LLM_TRACE_LIMIT"": ""0"", ""MorphX_LLM_TRICK_MODE"": ""0"", ""MorphX_SPLIT_HINT"": ""76"", ""VLLM_PREFILL_THREAD"": ""1""}"	MorphX,MorphX_SPLIT_HINT	/home/rtx/miniconda3/envs/MorphX/bin/python /mnt/data/rtx/gpu/sm-sched/scripts/test-pd-online.py /mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-2-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-2-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-2-split-76/MorphX.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-2-split-76/MorphX.err
Figure13	2	in-2048-out-256-rps-2-split-76	in-2048-out-256-rps-2	stream	2.000	2048	256	76	ok	0	199.46	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64"", ""VLLM_PREFILL_THREAD"": ""1""}"	MorphX,MorphX_SPLIT_HINT,LD_PRELOAD	/home/rtx/miniconda3/envs/MorphX/bin/python /mnt/data/rtx/gpu/sm-sched/scripts/test-pd-online.py /mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-2-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-2-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-2-split-76/stream.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-2-split-76/stream.err
Figure13	2	in-2048-out-256-rps-2-split-76	in-2048-out-256-rps-2	chunked	2.000	2048	256	76	ok	0	199.64	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"	MorphX,MorphX_SPLIT_HINT,VLLM_PREFILL_THREAD,LD_PRELOAD	/home/rtx/miniconda3/envs/MorphX/bin/python /mnt/data/rtx/gpu/sm-sched/scripts/test-pd-online.py /mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-2-split-76.json --enable-chunked-prefill	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-2-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-2-split-76/chunked.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-2-split-76/chunked.err
Figure13	3	in-2048-out-256-rps-3-split-76	in-2048-out-256-rps-3	baseline	3.000	2048	256	76	ok	0	199.55	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64""}"	MorphX,MorphX_SPLIT_HINT,VLLM_PREFILL_THREAD,LD_PRELOAD	/home/rtx/miniconda3/envs/MorphX/bin/python /mnt/data/rtx/gpu/sm-sched/scripts/test-pd-online.py /mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-3-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-3-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-3-split-76/baseline.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-3-split-76/baseline.err
Figure13	3	in-2048-out-256-rps-3-split-76	in-2048-out-256-rps-3	MorphX	3.000	2048	256	76	ok	0	200.88	"{""CUDA_MPS_LOG_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-log"", ""CUDA_MPS_PIPE_DIRECTORY"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/mps/plain-pipe"", ""CUDA_VISIBLE_DEVICES"": ""0"", ""LD_LIBRARY_PATH"": ""/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/runtime-libs:/mnt/data/rtx/llvm-project/install/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/llvm-project/build/lib/x86_64-unknown-linux-gnu:/mnt/data/rtx/miniconda3/envs/MorphX/lib:/usr/mpi/gcc/openmpi-4.1.7rc1/lib:/mnt/data/rtx/miniconda3/envs/nanoflow/lib:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64:/usr/local/cuda-12.4/lib64:/usr/local/cuda-12.4/targets/x86_64-linux/lib:/usr/local/cuda-12.4/extras/CUPTI/lib64:/home/rtx/usr/lib:/usr/local/cuda/lib64"", ""LD_PRELOAD"": ""/mnt/data/rtx/gpu/sm-sched/runtime/build/libcuda.so:/mnt/data/rtx/gpu/sm-sched/runtime/build/libpreload.so"", ""MorphX"": ""LD_PRELOAD=/mnt/data/rtx/gpu/sm-sched/runtime/build/libcuda.so:/mnt/data/rtx/gpu/sm-sched/runtime/build/libpreload.so MorphX_LLM_TRICK_MODE=0 MorphX_LLM_TRACE_LIMIT=0"", ""MorphX_LLM_TRACE_LIMIT"": ""0"", ""MorphX_LLM_TRICK_MODE"": ""0"", ""MorphX_SPLIT_HINT"": ""76"", ""VLLM_PREFILL_THREAD"": ""1""}"	MorphX,MorphX_SPLIT_HINT	/home/rtx/miniconda3/envs/MorphX/bin/python /mnt/data/rtx/gpu/sm-sched/scripts/test-pd-online.py /mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-3-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/configs/Figure13/in-2048-out-256-rps-3-split-76.json	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-3-split-76/MorphX.log	/mnt/data/rtx/gpu/sm-sched/logs/20260709-131830/part2-pd-colocate/logs/pd-online/Figure13/in-2048-out-256-rps-3-split-76/MorphX.err
