INFO 07-10 03:14:12 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 03:14:19 [config.py:583] This model supports multiple tasks: {'classify', 'generate', 'embed', 'reward', 'score'}. Defaulting to 'generate'.
WARNING 07-10 03:14:19 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 03:14:19 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=2304, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 03:14:21 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 03:14:21 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 03:14:21 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 03:14:21 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 03:14:24 [loader.py:429] Loading weights took 2.47 seconds
INFO 07-10 03:14:24 [model_runner.py:1181] Model loading took 14.9596 GB and 2.610793 seconds
INFO 07-10 03:14:25 [worker.py:267] Memory profiling takes 0.63 seconds
INFO 07-10 03:14:25 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 03:14:25 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.08GiB; PyTorch activation peak memory takes 0.94GiB; the rest of the memory reserved for KV Cache is 19.56GiB.
INFO 07-10 03:14:25 [executor_base.py:111] # cuda blocks: 10016, # CPU blocks: 2048
INFO 07-10 03:14:25 [executor_base.py:116] Maximum concurrency for 2304 tokens per request: 69.56x
INFO 07-10 03:14:26 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 2.35 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 2048.0, output_len: 256.0
prefill step time: 0.22793102264404297 seconds
decode step time: 0.019849300384521484 seconds
decode step time: 0.017221689224243164 seconds
decode step time: 0.01719069480895996 seconds
decode step time: 0.017149686813354492 seconds
decode step time: 0.017138957977294922 seconds
decode step time: 0.015868425369262695 seconds
decode step time: 0.015693187713623047 seconds
decode step time: 0.015655517578125 seconds
decode step time: 0.015606164932250977 seconds
decode step time: 0.01558375358581543 seconds
decode step time: 0.015573263168334961 seconds
decode step time: 0.0156252384185791 seconds
decode step time: 0.015583038330078125 seconds
decode step time: 0.01565098762512207 seconds
decode step time: 0.01553797721862793 seconds
decode step time: 0.015516519546508789 seconds
decode step time: 0.015553712844848633 seconds
prefill step time: 0.17389965057373047 seconds
prefill step time: 0.1780681610107422 seconds
prefill step time: 0.17881202697753906 seconds
prefill step time: 0.1784191131591797 seconds
decode step time: 0.01850152015686035 seconds
decode step time: 0.01796722412109375 seconds
decode step time: 0.0178225040435791 seconds
decode step time: 0.017405033111572266 seconds
decode step time: 0.01723194122314453 seconds
decode step time: 0.017172574996948242 seconds
decode step time: 0.01706242561340332 seconds
decode step time: 0.01703643798828125 seconds
decode step time: 0.016994476318359375 seconds
decode step time: 0.016974210739135742 seconds
decode step time: 0.01697683334350586 seconds
decode step time: 0.016995906829833984 seconds
decode step time: 0.017017841339111328 seconds
decode step time: 0.017141342163085938 seconds
decode step time: 0.01699662208557129 seconds
decode step time: 0.01698160171508789 seconds
decode step time: 0.0170137882232666 seconds
decode step time: 0.0169525146484375 seconds
decode step time: 0.0169525146484375 seconds
decode step time: 0.016986846923828125 seconds
decode step time: 0.01700448989868164 seconds
decode step time: 0.017026662826538086 seconds
prefill step time: 0.17433643341064453 seconds
decode step time: 0.018374919891357422 seconds
decode step time: 0.018065214157104492 seconds
decode step time: 0.017774581909179688 seconds
decode step time: 0.01753687858581543 seconds
decode step time: 0.01753973960876465 seconds
decode step time: 0.017404556274414062 seconds
decode step time: 0.017375946044921875 seconds
decode step time: 0.017324447631835938 seconds
decode step time: 0.017412662506103516 seconds
prefill step time: 0.17476940155029297 seconds
decode step time: 0.018754005432128906 seconds
decode step time: 0.0187532901763916 seconds
decode step time: 0.018826723098754883 seconds
decode step time: 0.018857479095458984 seconds
decode step time: 0.018126249313354492 seconds
decode step time: 0.017767667770385742 seconds
decode step time: 0.017699003219604492 seconds
decode step time: 0.0176544189453125 seconds
decode step time: 0.017598390579223633 seconds
decode step time: 0.017611265182495117 seconds
prefill step time: 0.17468547821044922 seconds
decode step time: 0.01914525032043457 seconds
decode step time: 0.018700361251831055 seconds
decode step time: 0.018485069274902344 seconds
decode step time: 0.01820993423461914 seconds
decode step time: 0.018094539642333984 seconds
decode step time: 0.018018484115600586 seconds
decode step time: 0.01798725128173828 seconds
decode step time: 0.017914772033691406 seconds
decode step time: 0.017894744873046875 seconds
decode step time: 0.01787257194519043 seconds
decode step time: 0.017857074737548828 seconds
decode step time: 0.017883777618408203 seconds
decode step time: 0.01785421371459961 seconds
decode step time: 0.01782989501953125 seconds
decode step time: 0.01783609390258789 seconds
decode step time: 0.017887353897094727 seconds
decode step time: 0.017873048782348633 seconds
decode step time: 0.027572154998779297 seconds
decode step time: 0.017897605895996094 seconds
decode step time: 0.017892837524414062 seconds
decode step time: 0.017880678176879883 seconds
decode step time: 0.017850875854492188 seconds
decode step time: 0.01782965660095215 seconds
decode step time: 0.01790022850036621 seconds
decode step time: 0.017893314361572266 seconds
decode step time: 0.017926931381225586 seconds
decode step time: 0.01793670654296875 seconds
decode step time: 0.01792621612548828 seconds
decode step time: 0.01795196533203125 seconds
decode step time: 0.01793384552001953 seconds
decode step time: 0.017896413803100586 seconds
decode step time: 0.017926454544067383 seconds
decode step time: 0.22554683685302734 seconds
decode step time: 0.018129348754882812 seconds
decode step time: 0.017868995666503906 seconds
decode step time: 0.01787424087524414 seconds
decode step time: 0.01784801483154297 seconds
decode step time: 0.017850399017333984 seconds
decode step time: 0.017845869064331055 seconds
decode step time: 0.017880916595458984 seconds
decode step time: 0.01784825325012207 seconds
decode step time: 0.01786971092224121 seconds
decode step time: 0.01784348487854004 seconds
decode step time: 0.017966508865356445 seconds
decode step time: 0.017909526824951172 seconds
decode step time: 0.017945289611816406 seconds
decode step time: 0.017937183380126953 seconds
decode step time: 0.01797938346862793 seconds
decode step time: 0.017965078353881836 seconds
decode step time: 0.017980098724365234 seconds
decode step time: 0.017927169799804688 seconds
decode step time: 0.0179288387298584 seconds
decode step time: 0.01789402961730957 seconds
decode step time: 0.01791548728942871 seconds
prefill step time: 0.17427492141723633 seconds
decode step time: 0.019437313079833984 seconds
decode step time: 0.019028186798095703 seconds
decode step time: 0.018781423568725586 seconds
decode step time: 0.018522024154663086 seconds
decode step time: 0.018462419509887695 seconds
decode step time: 0.0183413028717041 seconds
decode step time: 0.018299341201782227 seconds
decode step time: 0.018291473388671875 seconds
decode step time: 0.01831984519958496 seconds
decode step time: 0.018283367156982422 seconds
decode step time: 0.01822686195373535 seconds
decode step time: 0.018206357955932617 seconds
decode step time: 0.018220901489257812 seconds
decode step time: 0.018221616744995117 seconds
decode step time: 0.01818060874938965 seconds
decode step time: 0.018198490142822266 seconds
decode step time: 0.01816534996032715 seconds
decode step time: 0.018169403076171875 seconds
decode step time: 0.01817035675048828 seconds
decode step time: 0.018172740936279297 seconds
decode step time: 0.018237829208374023 seconds
decode step time: 0.018219470977783203 seconds
decode step time: 0.018254995346069336 seconds
decode step time: 0.018234729766845703 seconds
decode step time: 0.018224239349365234 seconds
decode step time: 0.018235206604003906 seconds
decode step time: 0.01827526092529297 seconds
decode step time: 0.018280744552612305 seconds
decode step time: 0.018345117568969727 seconds
decode step time: 0.01828145980834961 seconds
decode step time: 0.018250703811645508 seconds
decode step time: 0.018230438232421875 seconds
decode step time: 0.01820230484008789 seconds
decode step time: 0.01821756362915039 seconds
INFO 07-10 03:14:31 [metrics.py:481] Avg prompt throughput: 3685.7 tokens/s, Avg generation throughput: 199.6 tokens/s, Running: 9 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 12.2%, CPU KV cache usage: 0.0%.
decode step time: 0.018240928649902344 seconds
decode step time: 0.01822352409362793 seconds
decode step time: 0.01817917823791504 seconds
decode step time: 0.018181324005126953 seconds
decode step time: 0.018162250518798828 seconds
decode step time: 0.018159866333007812 seconds
decode step time: 0.01818704605102539 seconds
decode step time: 0.01831364631652832 seconds
decode step time: 0.018257856369018555 seconds
decode step time: 0.018253564834594727 seconds
decode step time: 0.018245220184326172 seconds
decode step time: 0.01838088035583496 seconds
decode step time: 0.018497228622436523 seconds
decode step time: 0.018269062042236328 seconds
decode step time: 0.018298864364624023 seconds
decode step time: 0.01830577850341797 seconds
decode step time: 0.018286705017089844 seconds
decode step time: 0.018277406692504883 seconds
decode step time: 0.01831197738647461 seconds
decode step time: 0.018351078033447266 seconds
decode step time: 0.018323421478271484 seconds
decode step time: 0.01829981803894043 seconds
decode step time: 0.018261432647705078 seconds
decode step time: 0.018230915069580078 seconds
decode step time: 0.018225669860839844 seconds
decode step time: 0.01822805404663086 seconds
decode step time: 0.018207311630249023 seconds
decode step time: 0.018200397491455078 seconds
decode step time: 0.01820659637451172 seconds
decode step time: 0.018172025680541992 seconds
decode step time: 0.018169164657592773 seconds
decode step time: 0.018229246139526367 seconds
decode step time: 0.01822376251220703 seconds
decode step time: 0.018277406692504883 seconds
decode step time: 0.018268823623657227 seconds
decode step time: 0.0183255672454834 seconds
decode step time: 0.018277883529663086 seconds
decode step time: 0.01826310157775879 seconds
decode step time: 0.018277883529663086 seconds
decode step time: 0.018304824829101562 seconds
decode step time: 0.018343448638916016 seconds
decode step time: 0.018337249755859375 seconds
decode step time: 0.018299579620361328 seconds
decode step time: 0.018246889114379883 seconds
decode step time: 0.018240690231323242 seconds
decode step time: 0.018251419067382812 seconds
decode step time: 0.01821422576904297 seconds
decode step time: 0.018222332000732422 seconds
decode step time: 0.01824331283569336 seconds
decode step time: 0.01818084716796875 seconds
decode step time: 0.018205881118774414 seconds
decode step time: 0.01819610595703125 seconds
decode step time: 0.018193483352661133 seconds
decode step time: 0.018231630325317383 seconds
decode step time: 0.018284320831298828 seconds
decode step time: 0.018280744552612305 seconds
decode step time: 0.018305301666259766 seconds
decode step time: 0.018311262130737305 seconds
decode step time: 0.018331527709960938 seconds
decode step time: 0.01832413673400879 seconds
decode step time: 0.018343448638916016 seconds
decode step time: 0.01832270622253418 seconds
