INFO 07-10 03:24:13 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 03:24:20 [config.py:583] This model supports multiple tasks: {'embed', 'score', 'generate', 'reward', 'classify'}. Defaulting to 'generate'.
INFO 07-10 03:24:20 [config.py:1693] Chunked prefill is enabled with max_num_batched_tokens=2304.
WARNING 07-10 03:24:20 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 03:24:20 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=2304, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=True, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 03:24:21 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 03:24:21 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 03:24:22 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 03:24:22 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 03:24:24 [loader.py:429] Loading weights took 2.45 seconds
INFO 07-10 03:24:24 [model_runner.py:1181] Model loading took 14.9596 GB and 2.590622 seconds
INFO 07-10 03:24:25 [worker.py:267] Memory profiling takes 0.59 seconds
INFO 07-10 03:24:25 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 03:24:25 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.08GiB; PyTorch activation peak memory takes 0.94GiB; the rest of the memory reserved for KV Cache is 19.56GiB.
INFO 07-10 03:24:25 [executor_base.py:111] # cuda blocks: 10016, # CPU blocks: 2048
INFO 07-10 03:24:25 [executor_base.py:116] Maximum concurrency for 2304 tokens per request: 69.56x
INFO 07-10 03:24:27 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 2.51 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 2048.0, output_len: 256.0
prefill step time: 0.2510073184967041 seconds
decode step time: 0.01946401596069336 seconds
decode step time: 0.016242027282714844 seconds
decode step time: 0.015843868255615234 seconds
decode step time: 0.015727519989013672 seconds
decode step time: 0.015612602233886719 seconds
decode step time: 0.015610694885253906 seconds
decode step time: 0.015584230422973633 seconds
decode step time: 0.015564441680908203 seconds
decode step time: 0.015583515167236328 seconds
decode step time: 0.015659809112548828 seconds
decode step time: 0.015547990798950195 seconds
decode step time: 0.015544414520263672 seconds
decode step time: 0.015500783920288086 seconds
decode step time: 0.015592575073242188 seconds
decode step time: 0.015490531921386719 seconds
decode step time: 0.015498638153076172 seconds
prefill step time: 0.18290162086486816 seconds
prefill step time: 0.18585443496704102 seconds
prefill step time: 0.18718624114990234 seconds
prefill step time: 0.19014644622802734 seconds
decode step time: 0.01849675178527832 seconds
decode step time: 0.017882347106933594 seconds
decode step time: 0.017684459686279297 seconds
decode step time: 0.017708778381347656 seconds
decode step time: 0.017146587371826172 seconds
decode step time: 0.017032384872436523 seconds
decode step time: 0.016972780227661133 seconds
decode step time: 0.016955137252807617 seconds
decode step time: 0.016970396041870117 seconds
decode step time: 0.016963720321655273 seconds
decode step time: 0.016982316970825195 seconds
decode step time: 0.01738595962524414 seconds
decode step time: 0.017364501953125 seconds
decode step time: 0.01697254180908203 seconds
decode step time: 0.01695418357849121 seconds
decode step time: 0.01690816879272461 seconds
decode step time: 0.016928911209106445 seconds
decode step time: 0.016918420791625977 seconds
decode step time: 0.016920804977416992 seconds
decode step time: 0.01694512367248535 seconds
prefill step time: 0.18416428565979004 seconds
decode step time: 0.018787860870361328 seconds
decode step time: 0.018105745315551758 seconds
decode step time: 0.017995595932006836 seconds
decode step time: 0.01751995086669922 seconds
decode step time: 0.01738595962524414 seconds
decode step time: 0.017323017120361328 seconds
decode step time: 0.017292022705078125 seconds
decode step time: 0.01739954948425293 seconds
prefill step time: 0.18492627143859863 seconds
decode step time: 0.018848419189453125 seconds
decode step time: 0.018322467803955078 seconds
decode step time: 0.017961978912353516 seconds
decode step time: 0.017978668212890625 seconds
decode step time: 0.01801586151123047 seconds
decode step time: 0.01760125160217285 seconds
decode step time: 0.01759958267211914 seconds
decode step time: 0.017550230026245117 seconds
decode step time: 0.017553329467773438 seconds
decode step time: 0.01758265495300293 seconds
prefill step time: 0.1849517822265625 seconds
decode step time: 0.019675254821777344 seconds
decode step time: 0.018775224685668945 seconds
decode step time: 0.01847553253173828 seconds
decode step time: 0.018159866333007812 seconds
decode step time: 0.018039464950561523 seconds
decode step time: 0.018061399459838867 seconds
decode step time: 0.018064022064208984 seconds
decode step time: 0.017902374267578125 seconds
decode step time: 0.017867326736450195 seconds
decode step time: 0.01793813705444336 seconds
decode step time: 0.017869949340820312 seconds
decode step time: 0.01783013343811035 seconds
decode step time: 0.017796993255615234 seconds
decode step time: 0.017775535583496094 seconds
decode step time: 0.017800092697143555 seconds
decode step time: 0.017867088317871094 seconds
decode step time: 0.029018640518188477 seconds
decode step time: 0.017896175384521484 seconds
decode step time: 0.017875194549560547 seconds
decode step time: 0.01782536506652832 seconds
decode step time: 0.01780223846435547 seconds
decode step time: 0.017830848693847656 seconds
decode step time: 0.017810583114624023 seconds
decode step time: 0.01781320571899414 seconds
decode step time: 0.01788949966430664 seconds
decode step time: 0.017896652221679688 seconds
decode step time: 0.017915010452270508 seconds
decode step time: 0.017956972122192383 seconds
decode step time: 0.0180056095123291 seconds
decode step time: 0.017928600311279297 seconds
decode step time: 0.017901182174682617 seconds
decode step time: 0.2788994312286377 seconds
decode step time: 0.018137216567993164 seconds
decode step time: 0.01781940460205078 seconds
decode step time: 0.017815828323364258 seconds
decode step time: 0.01779317855834961 seconds
decode step time: 0.017838239669799805 seconds
decode step time: 0.017868995666503906 seconds
decode step time: 0.018192529678344727 seconds
decode step time: 0.01785731315612793 seconds
decode step time: 0.017890214920043945 seconds
decode step time: 0.01787543296813965 seconds
decode step time: 0.01800251007080078 seconds
decode step time: 0.017914533615112305 seconds
decode step time: 0.01787281036376953 seconds
decode step time: 0.017883777618408203 seconds
decode step time: 0.017877817153930664 seconds
decode step time: 0.0178678035736084 seconds
decode step time: 0.017879486083984375 seconds
decode step time: 0.017813682556152344 seconds
prefill step time: 0.18491721153259277 seconds
decode step time: 0.01939082145690918 seconds
decode step time: 0.018670082092285156 seconds
decode step time: 0.018474578857421875 seconds
decode step time: 0.01821136474609375 seconds
decode step time: 0.018300533294677734 seconds
decode step time: 0.018156051635742188 seconds
decode step time: 0.018190622329711914 seconds
decode step time: 0.01816248893737793 seconds
decode step time: 0.018137454986572266 seconds
decode step time: 0.018126964569091797 seconds
decode step time: 0.018130779266357422 seconds
decode step time: 0.018158435821533203 seconds
decode step time: 0.018172025680541992 seconds
decode step time: 0.018180131912231445 seconds
decode step time: 0.01821756362915039 seconds
decode step time: 0.018218994140625 seconds
decode step time: 0.01821732521057129 seconds
decode step time: 0.018263578414916992 seconds
decode step time: 0.018221139907836914 seconds
decode step time: 0.018298625946044922 seconds
decode step time: 0.018179655075073242 seconds
decode step time: 0.01818680763244629 seconds
decode step time: 0.018184423446655273 seconds
decode step time: 0.018169641494750977 seconds
decode step time: 0.018170595169067383 seconds
decode step time: 0.018134355545043945 seconds
decode step time: 0.018118619918823242 seconds
decode step time: 0.018110275268554688 seconds
decode step time: 0.018105268478393555 seconds
decode step time: 0.01813817024230957 seconds
decode step time: 0.018170595169067383 seconds
decode step time: 0.0181427001953125 seconds
decode step time: 0.01817488670349121 seconds
INFO 07-10 03:24:32 [metrics.py:481] Avg prompt throughput: 3680.3 tokens/s, Avg generation throughput: 194.9 tokens/s, Running: 9 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 12.1%, CPU KV cache usage: 0.0%.
decode step time: 0.018207073211669922 seconds
decode step time: 0.01817798614501953 seconds
decode step time: 0.01820516586303711 seconds
decode step time: 0.018197298049926758 seconds
decode step time: 0.018209457397460938 seconds
decode step time: 0.018250226974487305 seconds
decode step time: 0.01824021339416504 seconds
decode step time: 0.018201828002929688 seconds
decode step time: 0.018232345581054688 seconds
decode step time: 0.01815509796142578 seconds
decode step time: 0.018230199813842773 seconds
decode step time: 0.01814579963684082 seconds
decode step time: 0.018182992935180664 seconds
decode step time: 0.018156051635742188 seconds
decode step time: 0.01810431480407715 seconds
decode step time: 0.018149614334106445 seconds
decode step time: 0.018131494522094727 seconds
decode step time: 0.01812291145324707 seconds
decode step time: 0.01810455322265625 seconds
decode step time: 0.01813817024230957 seconds
decode step time: 0.018099308013916016 seconds
decode step time: 0.018177509307861328 seconds
decode step time: 0.018181800842285156 seconds
decode step time: 0.018236637115478516 seconds
decode step time: 0.018225431442260742 seconds
decode step time: 0.018238544464111328 seconds
decode step time: 0.018245458602905273 seconds
decode step time: 0.018243074417114258 seconds
decode step time: 0.018291950225830078 seconds
decode step time: 0.018222808837890625 seconds
decode step time: 0.0182034969329834 seconds
decode step time: 0.018199682235717773 seconds
decode step time: 0.018184423446655273 seconds
decode step time: 0.018201828002929688 seconds
decode step time: 0.018144845962524414 seconds
decode step time: 0.018139123916625977 seconds
decode step time: 0.018128156661987305 seconds
decode step time: 0.01812911033630371 seconds
decode step time: 0.018121957778930664 seconds
decode step time: 0.018149375915527344 seconds
decode step time: 0.018167495727539062 seconds
decode step time: 0.018182039260864258 seconds
decode step time: 0.018185138702392578 seconds
decode step time: 0.018209218978881836 seconds
decode step time: 0.01825261116027832 seconds
decode step time: 0.018212080001831055 seconds
decode step time: 0.018254756927490234 seconds
decode step time: 0.018231630325317383 seconds
decode step time: 0.018239498138427734 seconds
decode step time: 0.018273591995239258 seconds
decode step time: 0.01822829246520996 seconds
decode step time: 0.01825737953186035 seconds
decode step time: 0.018209218978881836 seconds
decode step time: 0.018181562423706055 seconds
decode step time: 0.01817011833190918 seconds
decode step time: 0.018157482147216797 seconds
decode step time: 0.018129348754882812 seconds
decode step time: 0.018150806427001953 seconds
decode step time: 0.018156766891479492 seconds
decode step time: 0.018167734146118164 seconds
decode step time: 0.018152713775634766 seconds
decode step time: 0.018208980560302734 seconds
decode step time: 0.018207550048828125 seconds
decode step time: 0.018192291259765625 seconds
decode step time: 0.01822948455810547 seconds
decode step time: 0.018250703811645508 seconds
decode step time: 0.018283843994140625 seconds
decode step time: 0.018250703811645508 seconds
