INFO 07-10 03:17:32 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 03:17:39 [config.py:583] This model supports multiple tasks: {'classify', 'generate', 'score', 'reward', 'embed'}. Defaulting to 'generate'.
WARNING 07-10 03:17:39 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 03:17:39 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=2304, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 03:17:40 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 03:17:40 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 03:17:40 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 03:17:40 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 03:17:43 [loader.py:429] Loading weights took 2.45 seconds
INFO 07-10 03:17:43 [model_runner.py:1181] Model loading took 14.9596 GB and 2.591965 seconds
INFO 07-10 03:17:45 [worker.py:267] Memory profiling takes 2.08 seconds
INFO 07-10 03:17:45 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 03:17:45 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.18GiB; PyTorch activation peak memory takes 0.94GiB; the rest of the memory reserved for KV Cache is 19.47GiB.
INFO 07-10 03:17:46 [executor_base.py:111] # cuda blocks: 9968, # CPU blocks: 2048
INFO 07-10 03:17:46 [executor_base.py:116] Maximum concurrency for 2304 tokens per request: 69.22x
INFO 07-10 03:17:47 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 4.15 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 2048.0, output_len: 256.0
prefill step time: 0.3248708248138428 seconds
decode step time: 0.021998167037963867 seconds
decode step time: 0.017995834350585938 seconds
decode step time: 0.01770472526550293 seconds
decode step time: 0.017627716064453125 seconds
decode step time: 0.019017457962036133 seconds
decode step time: 0.01758265495300293 seconds
decode step time: 0.017613887786865234 seconds
decode step time: 0.0176088809967041 seconds
decode step time: 0.017505407333374023 seconds
decode step time: 0.017461776733398438 seconds
decode step time: 0.030146121978759766 seconds
decode step time: 0.02934408187866211 seconds
decode step time: 0.03740668296813965 seconds
decode step time: 0.03035259246826172 seconds
decode step time: 0.030474185943603516 seconds
decode step time: 0.030152082443237305 seconds
decode step time: 0.03019571304321289 seconds
prefill step time: 0.24953556060791016 seconds
decode step time: 0.029286861419677734 seconds
decode step time: 0.21468544006347656 seconds
decode step time: 0.029993772506713867 seconds
decode step time: 0.03100442886352539 seconds
decode step time: 0.03193163871765137 seconds
decode step time: 0.03139042854309082 seconds
decode step time: 0.03101348876953125 seconds
prefill step time: 0.40421223640441895 seconds
decode step time: 0.03069758415222168 seconds
decode step time: 0.03293943405151367 seconds
decode step time: 0.03225421905517578 seconds
decode step time: 0.031870126724243164 seconds
decode step time: 0.03209733963012695 seconds
decode step time: 0.032056331634521484 seconds
decode step time: 0.031804561614990234 seconds
decode step time: 0.03183722496032715 seconds
prefill step time: 0.2559316158294678 seconds
decode step time: 0.03140544891357422 seconds
decode step time: 0.03298354148864746 seconds
decode step time: 0.03255414962768555 seconds
decode step time: 0.03308892250061035 seconds
decode step time: 0.03358960151672363 seconds
decode step time: 0.033422231674194336 seconds
decode step time: 0.03251171112060547 seconds
decode step time: 0.03287148475646973 seconds
prefill step time: 0.2570500373840332 seconds
decode step time: 0.031167268753051758 seconds
decode step time: 0.03280305862426758 seconds
decode step time: 0.03250479698181152 seconds
decode step time: 0.03320479393005371 seconds
decode step time: 0.03432869911193848 seconds
decode step time: 0.03876447677612305 seconds
decode step time: 0.034879446029663086 seconds
prefill step time: 0.2646901607513428 seconds
decode step time: 0.03315305709838867 seconds
decode step time: 0.03441667556762695 seconds
decode step time: 0.03348827362060547 seconds
decode step time: 0.03384232521057129 seconds
decode step time: 0.033956050872802734 seconds
decode step time: 0.03450369834899902 seconds
decode step time: 0.033937692642211914 seconds
decode step time: 0.03410530090332031 seconds
prefill step time: 0.25734949111938477 seconds
decode step time: 0.026434659957885742 seconds
decode step time: 0.021825551986694336 seconds
decode step time: 0.02043008804321289 seconds
decode step time: 0.020034074783325195 seconds
decode step time: 0.019615650177001953 seconds
decode step time: 0.019477367401123047 seconds
decode step time: 0.03206682205200195 seconds
decode step time: 0.033238887786865234 seconds
decode step time: 0.03498673439025879 seconds
decode step time: 0.035208702087402344 seconds
decode step time: 0.034482717514038086 seconds
decode step time: 0.03485560417175293 seconds
decode step time: 0.03421354293823242 seconds
prefill step time: 0.25112199783325195 seconds
decode step time: 0.023924589157104492 seconds
decode step time: 0.021585941314697266 seconds
decode step time: 0.02056288719177246 seconds
decode step time: 0.020048856735229492 seconds
decode step time: 0.01991581916809082 seconds
decode step time: 0.01980423927307129 seconds
decode step time: 0.019728660583496094 seconds
decode step time: 0.01976299285888672 seconds
decode step time: 0.019788265228271484 seconds
decode step time: 0.01985335350036621 seconds
decode step time: 0.019761323928833008 seconds
decode step time: 0.01983952522277832 seconds
decode step time: 0.01972198486328125 seconds
decode step time: 0.019643545150756836 seconds
decode step time: 0.01965022087097168 seconds
decode step time: 0.019729137420654297 seconds
decode step time: 0.0196990966796875 seconds
decode step time: 0.01974964141845703 seconds
decode step time: 0.019664525985717773 seconds
decode step time: 0.019747495651245117 seconds
decode step time: 0.019650936126708984 seconds
decode step time: 0.01963496208190918 seconds
decode step time: 0.019616365432739258 seconds
decode step time: 0.019684314727783203 seconds
decode step time: 0.019721031188964844 seconds
decode step time: 0.01972174644470215 seconds
decode step time: 0.019668102264404297 seconds
decode step time: 0.01973247528076172 seconds
decode step time: 0.019671201705932617 seconds
decode step time: 0.019672870635986328 seconds
decode step time: 0.019718647003173828 seconds
decode step time: 0.01966238021850586 seconds
decode step time: 0.019694805145263672 seconds
decode step time: 0.01975250244140625 seconds
decode step time: 0.01973414421081543 seconds
decode step time: 0.019746065139770508 seconds
decode step time: 0.019672632217407227 seconds
decode step time: 0.019692420959472656 seconds
decode step time: 0.019675493240356445 seconds
decode step time: 0.01969170570373535 seconds
decode step time: 0.019698619842529297 seconds
decode step time: 0.019739389419555664 seconds
decode step time: 0.019867658615112305 seconds
decode step time: 0.019860506057739258 seconds
decode step time: 0.019773483276367188 seconds
decode step time: 0.019884824752807617 seconds
decode step time: 0.019782304763793945 seconds
decode step time: 0.019781827926635742 seconds
decode step time: 0.019628524780273438 seconds
decode step time: 0.019661664962768555 seconds
decode step time: 0.01962590217590332 seconds
decode step time: 0.019678354263305664 seconds
decode step time: 0.019747257232666016 seconds
decode step time: 0.019760847091674805 seconds
decode step time: 0.01969003677368164 seconds
decode step time: 0.01974940299987793 seconds
decode step time: 0.03218436241149902 seconds
decode step time: 0.03473782539367676 seconds
decode step time: 0.036275386810302734 seconds
decode step time: 0.03572821617126465 seconds
decode step time: 0.035865068435668945 seconds
decode step time: 0.03591179847717285 seconds
prefill step time: 0.2527446746826172 seconds
decode step time: 0.03672313690185547 seconds
decode step time: 0.02330183982849121 seconds
decode step time: 0.021919727325439453 seconds
decode step time: 0.02100229263305664 seconds
decode step time: 0.020411968231201172 seconds
decode step time: 0.020282268524169922 seconds
decode step time: 0.02020406723022461 seconds
decode step time: 0.020107746124267578 seconds
decode step time: 0.020105838775634766 seconds
decode step time: 0.020123720169067383 seconds
decode step time: 0.02002239227294922 seconds
decode step time: 0.020041465759277344 seconds
decode step time: 0.020062685012817383 seconds
decode step time: 0.02009868621826172 seconds
decode step time: 0.02005791664123535 seconds
decode step time: 0.020071983337402344 seconds
decode step time: 0.020036935806274414 seconds
decode step time: 0.020109176635742188 seconds
decode step time: 0.020146608352661133 seconds
decode step time: 0.020178556442260742 seconds
decode step time: 0.020102739334106445 seconds
decode step time: 0.020099878311157227 seconds
decode step time: 0.020067453384399414 seconds
decode step time: 0.0200042724609375 seconds
decode step time: 0.0199892520904541 seconds
decode step time: 0.02001643180847168 seconds
decode step time: 0.01995706558227539 seconds
decode step time: 0.01998758316040039 seconds
decode step time: 0.02003335952758789 seconds
INFO 07-10 03:17:52 [metrics.py:481] Avg prompt throughput: 3678.6 tokens/s, Avg generation throughput: 203.4 tokens/s, Running: 9 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 12.2%, CPU KV cache usage: 0.0%.
decode step time: 0.020121335983276367 seconds
decode step time: 0.020025253295898438 seconds
decode step time: 0.020029783248901367 seconds
decode step time: 0.020071744918823242 seconds
decode step time: 0.020020484924316406 seconds
decode step time: 0.020055532455444336 seconds
decode step time: 0.020017385482788086 seconds
decode step time: 0.02005624771118164 seconds
decode step time: 0.020203113555908203 seconds
decode step time: 0.02020883560180664 seconds
decode step time: 0.02017045021057129 seconds
decode step time: 0.020099639892578125 seconds
decode step time: 0.020197153091430664 seconds
decode step time: 0.020158052444458008 seconds
decode step time: 0.020046472549438477 seconds
decode step time: 0.02008962631225586 seconds
decode step time: 0.02000594139099121 seconds
decode step time: 0.020128726959228516 seconds
decode step time: 0.020081758499145508 seconds
decode step time: 0.020087480545043945 seconds
decode step time: 0.020077228546142578 seconds
decode step time: 0.020055770874023438 seconds
decode step time: 0.02011418342590332 seconds
decode step time: 0.020003080368041992 seconds
decode step time: 0.020023107528686523 seconds
decode step time: 0.02005910873413086 seconds
decode step time: 0.02003002166748047 seconds
decode step time: 0.020018577575683594 seconds
decode step time: 0.020210742950439453 seconds
decode step time: 0.0201876163482666 seconds
decode step time: 0.020194053649902344 seconds
decode step time: 0.020191192626953125 seconds
decode step time: 0.02013421058654785 seconds
decode step time: 0.020093917846679688 seconds
decode step time: 0.020168066024780273 seconds
decode step time: 0.020139694213867188 seconds
decode step time: 0.020217180252075195 seconds
decode step time: 0.020026206970214844 seconds
decode step time: 0.020060300827026367 seconds
decode step time: 0.020052433013916016 seconds
decode step time: 0.02005457878112793 seconds
decode step time: 0.02003955841064453 seconds
decode step time: 0.020072460174560547 seconds
decode step time: 0.020019054412841797 seconds
decode step time: 0.020061016082763672 seconds
decode step time: 0.020249605178833008 seconds
decode step time: 0.020081281661987305 seconds
decode step time: 0.020066499710083008 seconds
decode step time: 0.02010488510131836 seconds
