INFO 07-10 05:41:18 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 05:41:25 [config.py:583] This model supports multiple tasks: {'embed', 'score', 'generate', 'classify', 'reward'}. Defaulting to 'generate'.
WARNING 07-10 05:41:25 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 05:41:25 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=4352, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 05:41:26 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 05:41:26 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 05:41:27 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 05:41:27 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 05:41:29 [loader.py:429] Loading weights took 2.45 seconds
INFO 07-10 05:41:29 [model_runner.py:1181] Model loading took 14.9596 GB and 2.589080 seconds
INFO 07-10 05:41:30 [worker.py:267] Memory profiling takes 0.78 seconds
INFO 07-10 05:41:30 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 05:41:30 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.08GiB; PyTorch activation peak memory takes 0.95GiB; the rest of the memory reserved for KV Cache is 19.55GiB.
INFO 07-10 05:41:30 [executor_base.py:111] # cuda blocks: 10009, # CPU blocks: 2048
INFO 07-10 05:41:30 [executor_base.py:116] Maximum concurrency for 4352 tokens per request: 36.80x
INFO 07-10 05:41:32 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 2.89 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 4096.0, output_len: 256.0
prefill step time: 0.43464040756225586 seconds
decode step time: 0.019898653030395508 seconds
decode step time: 0.016484737396240234 seconds
decode step time: 0.016119956970214844 seconds
decode step time: 0.01610541343688965 seconds
decode step time: 0.015862464904785156 seconds
prefill step time: 0.3553507328033447 seconds
prefill step time: 0.3602941036224365 seconds
prefill step time: 0.3645467758178711 seconds
prefill step time: 0.36165738105773926 seconds
prefill step time: 0.3605468273162842 seconds
prefill step time: 0.3622145652770996 seconds
prefill step time: 0.36214160919189453 seconds
decode step time: 0.02167057991027832 seconds
decode step time: 0.020302772521972656 seconds
decode step time: 0.019994497299194336 seconds
decode step time: 0.01985025405883789 seconds
decode step time: 0.019643068313598633 seconds
decode step time: 0.02013373374938965 seconds
decode step time: 0.019536256790161133 seconds
decode step time: 0.019606351852416992 seconds
decode step time: 0.019571304321289062 seconds
decode step time: 0.01955723762512207 seconds
decode step time: 0.019578933715820312 seconds
decode step time: 0.019510746002197266 seconds
decode step time: 0.01952362060546875 seconds
decode step time: 0.019514799118041992 seconds
decode step time: 0.019520044326782227 seconds
decode step time: 0.019513845443725586 seconds
decode step time: 0.019502639770507812 seconds
decode step time: 0.01949787139892578 seconds
decode step time: 0.01949906349182129 seconds
decode step time: 0.019582509994506836 seconds
decode step time: 0.019490957260131836 seconds
decode step time: 0.019475936889648438 seconds
decode step time: 0.019477367401123047 seconds
decode step time: 0.01947307586669922 seconds
decode step time: 0.019433975219726562 seconds
decode step time: 0.01946282386779785 seconds
decode step time: 0.01946854591369629 seconds
decode step time: 0.019456148147583008 seconds
decode step time: 0.019457340240478516 seconds
decode step time: 0.019472837448120117 seconds
decode step time: 0.01949334144592285 seconds
decode step time: 0.019427061080932617 seconds
decode step time: 0.019439220428466797 seconds
prefill step time: 0.3591320514678955 seconds
decode step time: 0.02142500877380371 seconds
decode step time: 0.02100205421447754 seconds
decode step time: 0.02036905288696289 seconds
decode step time: 0.021585941314697266 seconds
decode step time: 0.02028679847717285 seconds
decode step time: 0.020006895065307617 seconds
decode step time: 0.02000260353088379 seconds
decode step time: 0.02007126808166504 seconds
decode step time: 0.020084619522094727 seconds
decode step time: 0.02011561393737793 seconds
decode step time: 0.020092248916625977 seconds
decode step time: 0.020106077194213867 seconds
decode step time: 0.03914165496826172 seconds
decode step time: 0.02006053924560547 seconds
decode step time: 0.020008325576782227 seconds
decode step time: 0.020045042037963867 seconds
decode step time: 0.020040512084960938 seconds
decode step time: 0.020081281661987305 seconds
decode step time: 0.02005743980407715 seconds
INFO 07-10 05:41:37 [metrics.py:481] Avg prompt throughput: 7352.1 tokens/s, Avg generation throughput: 89.5 tokens/s, Running: 9 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 23.4%, CPU KV cache usage: 0.0%.
decode step time: 0.020125865936279297 seconds
decode step time: 0.020073890686035156 seconds
decode step time: 0.02005910873413086 seconds
decode step time: 0.02003002166748047 seconds
decode step time: 0.020020723342895508 seconds
decode step time: 0.0199737548828125 seconds
decode step time: 0.22919273376464844 seconds
decode step time: 0.020207643508911133 seconds
decode step time: 0.02000904083251953 seconds
decode step time: 0.02008533477783203 seconds
decode step time: 0.020116329193115234 seconds
decode step time: 0.020063400268554688 seconds
decode step time: 0.020117521286010742 seconds
decode step time: 0.020035266876220703 seconds
decode step time: 0.020068883895874023 seconds
decode step time: 0.020067214965820312 seconds
decode step time: 0.020082950592041016 seconds
decode step time: 0.020090341567993164 seconds
decode step time: 0.02001047134399414 seconds
decode step time: 0.020009756088256836 seconds
decode step time: 0.019971370697021484 seconds
decode step time: 0.01995849609375 seconds
decode step time: 0.01999664306640625 seconds
decode step time: 0.0199737548828125 seconds
decode step time: 0.019995450973510742 seconds
decode step time: 0.01995849609375 seconds
decode step time: 0.0199892520904541 seconds
decode step time: 0.020102977752685547 seconds
decode step time: 0.020140886306762695 seconds
decode step time: 0.02012801170349121 seconds
decode step time: 0.020136594772338867 seconds
decode step time: 0.02016448974609375 seconds
decode step time: 0.020139694213867188 seconds
decode step time: 0.02011585235595703 seconds
decode step time: 0.02012038230895996 seconds
decode step time: 0.020123958587646484 seconds
decode step time: 0.02017831802368164 seconds
decode step time: 0.02008533477783203 seconds
decode step time: 0.02007317543029785 seconds
decode step time: 0.020092487335205078 seconds
decode step time: 0.02003169059753418 seconds
decode step time: 0.0200042724609375 seconds
decode step time: 0.019992828369140625 seconds
decode step time: 0.019980430603027344 seconds
decode step time: 0.02000117301940918 seconds
decode step time: 0.019992589950561523 seconds
decode step time: 0.020006656646728516 seconds
decode step time: 0.019979238510131836 seconds
decode step time: 0.019997596740722656 seconds
decode step time: 0.020116567611694336 seconds
decode step time: 0.02018880844116211 seconds
decode step time: 0.020181655883789062 seconds
decode step time: 0.020200729370117188 seconds
decode step time: 0.020218372344970703 seconds
decode step time: 0.020154476165771484 seconds
decode step time: 0.020115375518798828 seconds
decode step time: 0.020129680633544922 seconds
decode step time: 0.02013397216796875 seconds
decode step time: 0.020175695419311523 seconds
decode step time: 0.020079851150512695 seconds
decode step time: 0.020093917846679688 seconds
decode step time: 0.020045757293701172 seconds
decode step time: 0.020047664642333984 seconds
decode step time: 0.02004837989807129 seconds
decode step time: 0.020019054412841797 seconds
decode step time: 0.02001047134399414 seconds
decode step time: 0.020003557205200195 seconds
decode step time: 0.019971609115600586 seconds
decode step time: 0.019953489303588867 seconds
decode step time: 0.019957542419433594 seconds
decode step time: 0.020006656646728516 seconds
decode step time: 0.020041704177856445 seconds
decode step time: 0.020093679428100586 seconds
decode step time: 0.020173311233520508 seconds
decode step time: 0.020150423049926758 seconds
decode step time: 0.02014636993408203 seconds
decode step time: 0.020212650299072266 seconds
decode step time: 0.020180940628051758 seconds
decode step time: 0.020159006118774414 seconds
decode step time: 0.020136356353759766 seconds
decode step time: 0.020130634307861328 seconds
decode step time: 0.020129919052124023 seconds
decode step time: 0.020101547241210938 seconds
decode step time: 0.020136117935180664 seconds
decode step time: 0.0201265811920166 seconds
decode step time: 0.020057201385498047 seconds
decode step time: 0.020075082778930664 seconds
decode step time: 0.020099878311157227 seconds
decode step time: 0.020046234130859375 seconds
decode step time: 0.020082712173461914 seconds
decode step time: 0.020058155059814453 seconds
decode step time: 0.02003026008605957 seconds
decode step time: 0.020035266876220703 seconds
decode step time: 0.020134687423706055 seconds
decode step time: 0.020172834396362305 seconds
decode step time: 0.020169973373413086 seconds
prefill step time: 0.3628225326538086 seconds
decode step time: 0.023066997528076172 seconds
decode step time: 0.021744251251220703 seconds
decode step time: 0.021124601364135742 seconds
decode step time: 0.020901918411254883 seconds
decode step time: 0.02073526382446289 seconds
decode step time: 0.020622968673706055 seconds
decode step time: 0.020601987838745117 seconds
decode step time: 0.020548105239868164 seconds
decode step time: 0.0206606388092041 seconds
decode step time: 0.02071094512939453 seconds
decode step time: 0.020760774612426758 seconds
decode step time: 0.02075958251953125 seconds
decode step time: 0.020908594131469727 seconds
decode step time: 0.020808935165405273 seconds
decode step time: 0.0207064151763916 seconds
decode step time: 0.020700693130493164 seconds
decode step time: 0.02074575424194336 seconds
decode step time: 0.020603179931640625 seconds
decode step time: 0.02064037322998047 seconds
decode step time: 0.020670175552368164 seconds
decode step time: 0.02067422866821289 seconds
decode step time: 0.020954132080078125 seconds
decode step time: 0.020828962326049805 seconds
decode step time: 0.020800113677978516 seconds
decode step time: 0.020684242248535156 seconds
decode step time: 0.020783185958862305 seconds
decode step time: 0.020653486251831055 seconds
decode step time: 0.020647287368774414 seconds
decode step time: 0.020662784576416016 seconds
decode step time: 0.02062082290649414 seconds
decode step time: 0.020615816116333008 seconds
decode step time: 0.02059030532836914 seconds
decode step time: 0.02073526382446289 seconds
decode step time: 0.020854711532592773 seconds
decode step time: 0.0208587646484375 seconds
decode step time: 0.020923376083374023 seconds
decode step time: 0.020824670791625977 seconds
decode step time: 0.020787477493286133 seconds
decode step time: 0.020719051361083984 seconds
decode step time: 0.020735979080200195 seconds
decode step time: 0.02068948745727539 seconds
decode step time: 0.020601987838745117 seconds
decode step time: 0.020580768585205078 seconds
decode step time: 0.02057504653930664 seconds
decode step time: 0.02057194709777832 seconds
decode step time: 0.0207366943359375 seconds
decode step time: 0.020765066146850586 seconds
decode step time: 0.02077484130859375 seconds
decode step time: 0.020798683166503906 seconds
decode step time: 0.020767688751220703 seconds
decode step time: 0.02077937126159668 seconds
decode step time: 0.020717859268188477 seconds
decode step time: 0.020761489868164062 seconds
decode step time: 0.020665884017944336 seconds
