INFO 07-10 05:51:20 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 05:51:27 [config.py:583] This model supports multiple tasks: {'score', 'reward', 'generate', 'embed', 'classify'}. Defaulting to 'generate'.
INFO 07-10 05:51:27 [config.py:1693] Chunked prefill is enabled with max_num_batched_tokens=4352.
WARNING 07-10 05:51:27 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 05:51:27 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=4352, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=True, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 05:51:28 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 05:51:28 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 05:51:29 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 05:51:29 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 05:51:31 [loader.py:429] Loading weights took 2.47 seconds
INFO 07-10 05:51:31 [model_runner.py:1181] Model loading took 14.9596 GB and 2.610905 seconds
INFO 07-10 05:51:32 [worker.py:267] Memory profiling takes 0.82 seconds
INFO 07-10 05:51:32 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 05:51:32 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.08GiB; PyTorch activation peak memory takes 0.95GiB; the rest of the memory reserved for KV Cache is 19.55GiB.
INFO 07-10 05:51:32 [executor_base.py:111] # cuda blocks: 10009, # CPU blocks: 2048
INFO 07-10 05:51:32 [executor_base.py:116] Maximum concurrency for 4352 tokens per request: 36.80x
INFO 07-10 05:51:34 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 2.43 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 4096.0, output_len: 256.0
prefill step time: 0.4003336429595947 seconds
decode step time: 0.019932031631469727 seconds
decode step time: 0.016485214233398438 seconds
decode step time: 0.01616382598876953 seconds
decode step time: 0.016196489334106445 seconds
decode step time: 0.015831708908081055 seconds
decode step time: 0.01586604118347168 seconds
decode step time: 0.015665769577026367 seconds
prefill step time: 0.3666682243347168 seconds
prefill step time: 0.37044405937194824 seconds
prefill step time: 0.37317538261413574 seconds
prefill step time: 0.37200188636779785 seconds
prefill step time: 0.37158942222595215 seconds
prefill step time: 0.3727848529815674 seconds
prefill step time: 0.3731505870819092 seconds
decode step time: 0.021087646484375 seconds
decode step time: 0.0201413631439209 seconds
decode step time: 0.019881486892700195 seconds
decode step time: 0.02011704444885254 seconds
decode step time: 0.019519805908203125 seconds
decode step time: 0.019533395767211914 seconds
decode step time: 0.0194244384765625 seconds
decode step time: 0.019432544708251953 seconds
decode step time: 0.01937556266784668 seconds
decode step time: 0.019407272338867188 seconds
decode step time: 0.019396066665649414 seconds
decode step time: 0.019416093826293945 seconds
decode step time: 0.019385576248168945 seconds
decode step time: 0.019346952438354492 seconds
decode step time: 0.019355058670043945 seconds
decode step time: 0.01936030387878418 seconds
decode step time: 0.019319772720336914 seconds
decode step time: 0.01932072639465332 seconds
decode step time: 0.019397497177124023 seconds
decode step time: 0.019343137741088867 seconds
decode step time: 0.019336462020874023 seconds
decode step time: 0.019345521926879883 seconds
decode step time: 0.01934647560119629 seconds
decode step time: 0.01935601234436035 seconds
decode step time: 0.019358158111572266 seconds
decode step time: 0.019346237182617188 seconds
decode step time: 0.019332170486450195 seconds
decode step time: 0.019348859786987305 seconds
decode step time: 0.019428014755249023 seconds
prefill step time: 0.3704807758331299 seconds
decode step time: 0.021266698837280273 seconds
decode step time: 0.02072286605834961 seconds
decode step time: 0.02035808563232422 seconds
decode step time: 0.020096302032470703 seconds
decode step time: 0.020032882690429688 seconds
decode step time: 0.019999980926513672 seconds
decode step time: 0.01995706558227539 seconds
decode step time: 0.019917726516723633 seconds
decode step time: 0.02001667022705078 seconds
decode step time: 0.019926071166992188 seconds
decode step time: 0.01989603042602539 seconds
decode step time: 0.019890308380126953 seconds
decode step time: 0.01995396614074707 seconds
decode step time: 0.02005457878112793 seconds
decode step time: 0.020101547241210938 seconds
decode step time: 0.020426034927368164 seconds
decode step time: 0.020001888275146484 seconds
decode step time: 0.01993417739868164 seconds
decode step time: 0.01995539665222168 seconds
INFO 07-10 05:51:39 [metrics.py:481] Avg prompt throughput: 7360.6 tokens/s, Avg generation throughput: 90.8 tokens/s, Running: 9 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 23.4%, CPU KV cache usage: 0.0%.
decode step time: 0.019985198974609375 seconds
decode step time: 0.021494150161743164 seconds
decode step time: 0.020317792892456055 seconds
decode step time: 0.020050048828125 seconds
decode step time: 0.02004694938659668 seconds
decode step time: 0.020054340362548828 seconds
decode step time: 0.020042896270751953 seconds
decode step time: 0.02008986473083496 seconds
decode step time: 0.24715590476989746 seconds
decode step time: 0.020200252532958984 seconds
decode step time: 0.019879817962646484 seconds
decode step time: 0.019898414611816406 seconds
decode step time: 0.01987433433532715 seconds
decode step time: 0.0198822021484375 seconds
decode step time: 0.01988387107849121 seconds
decode step time: 0.0199282169342041 seconds
decode step time: 0.019907474517822266 seconds
decode step time: 0.01998448371887207 seconds
decode step time: 0.020075082778930664 seconds
decode step time: 0.020131587982177734 seconds
decode step time: 0.020052194595336914 seconds
decode step time: 0.02010488510131836 seconds
decode step time: 0.020072460174560547 seconds
decode step time: 0.02008819580078125 seconds
decode step time: 0.02009272575378418 seconds
decode step time: 0.020070791244506836 seconds
decode step time: 0.020034074783325195 seconds
decode step time: 0.02002406120300293 seconds
decode step time: 0.020015478134155273 seconds
decode step time: 0.020016908645629883 seconds
decode step time: 0.019984722137451172 seconds
decode step time: 0.0200042724609375 seconds
decode step time: 0.019979476928710938 seconds
decode step time: 0.01994609832763672 seconds
decode step time: 0.019942522048950195 seconds
decode step time: 0.01993417739868164 seconds
decode step time: 0.01995062828063965 seconds
decode step time: 0.019936084747314453 seconds
decode step time: 0.01996779441833496 seconds
decode step time: 0.02000570297241211 seconds
decode step time: 0.02005767822265625 seconds
decode step time: 0.02012801170349121 seconds
decode step time: 0.020102262496948242 seconds
decode step time: 0.02007436752319336 seconds
decode step time: 0.020077228546142578 seconds
decode step time: 0.020088911056518555 seconds
decode step time: 0.020069360733032227 seconds
decode step time: 0.020085811614990234 seconds
decode step time: 0.02004241943359375 seconds
decode step time: 0.020029783248901367 seconds
decode step time: 0.02000904083251953 seconds
decode step time: 0.020029544830322266 seconds
decode step time: 0.019984960556030273 seconds
decode step time: 0.020013093948364258 seconds
decode step time: 0.01994013786315918 seconds
decode step time: 0.01993417739868164 seconds
decode step time: 0.019918441772460938 seconds
decode step time: 0.019916057586669922 seconds
decode step time: 0.019921541213989258 seconds
decode step time: 0.01995253562927246 seconds
decode step time: 0.019965410232543945 seconds
decode step time: 0.02003312110900879 seconds
decode step time: 0.02009749412536621 seconds
decode step time: 0.020098209381103516 seconds
decode step time: 0.020106792449951172 seconds
decode step time: 0.0201113224029541 seconds
decode step time: 0.020154714584350586 seconds
decode step time: 0.020121097564697266 seconds
decode step time: 0.02012038230895996 seconds
decode step time: 0.020139217376708984 seconds
decode step time: 0.020110368728637695 seconds
decode step time: 0.020083904266357422 seconds
decode step time: 0.020074129104614258 seconds
decode step time: 0.02008366584777832 seconds
decode step time: 0.020032882690429688 seconds
decode step time: 0.020041942596435547 seconds
decode step time: 0.020018339157104492 seconds
decode step time: 0.020005464553833008 seconds
decode step time: 0.01999378204345703 seconds
decode step time: 0.019983768463134766 seconds
decode step time: 0.019959688186645508 seconds
decode step time: 0.01996159553527832 seconds
decode step time: 0.020032405853271484 seconds
decode step time: 0.02008652687072754 seconds
decode step time: 0.020131587982177734 seconds
decode step time: 0.020129680633544922 seconds
decode step time: 0.020158052444458008 seconds
decode step time: 0.020142793655395508 seconds
decode step time: 0.020111083984375 seconds
decode step time: 0.02014446258544922 seconds
decode step time: 0.020157337188720703 seconds
decode step time: 0.020134925842285156 seconds
decode step time: 0.020076513290405273 seconds
decode step time: 0.02011394500732422 seconds
decode step time: 0.02006983757019043 seconds
decode step time: 0.02004528045654297 seconds
prefill step time: 0.37462449073791504 seconds
decode step time: 0.022182703018188477 seconds
decode step time: 0.021584033966064453 seconds
decode step time: 0.020982980728149414 seconds
decode step time: 0.020831584930419922 seconds
decode step time: 0.020683765411376953 seconds
decode step time: 0.020567655563354492 seconds
decode step time: 0.020524263381958008 seconds
decode step time: 0.020524024963378906 seconds
decode step time: 0.020563364028930664 seconds
decode step time: 0.020687580108642578 seconds
decode step time: 0.02072429656982422 seconds
decode step time: 0.02079033851623535 seconds
decode step time: 0.020722389221191406 seconds
decode step time: 0.02069377899169922 seconds
decode step time: 0.0206451416015625 seconds
decode step time: 0.02064347267150879 seconds
decode step time: 0.020595550537109375 seconds
decode step time: 0.020560264587402344 seconds
decode step time: 0.020532846450805664 seconds
decode step time: 0.020515918731689453 seconds
decode step time: 0.020517587661743164 seconds
decode step time: 0.020606040954589844 seconds
decode step time: 0.020649194717407227 seconds
decode step time: 0.020718097686767578 seconds
decode step time: 0.020738840103149414 seconds
decode step time: 0.020704030990600586 seconds
decode step time: 0.02070903778076172 seconds
decode step time: 0.020699501037597656 seconds
decode step time: 0.020664453506469727 seconds
decode step time: 0.020623445510864258 seconds
decode step time: 0.02058720588684082 seconds
decode step time: 0.020592212677001953 seconds
decode step time: 0.020509004592895508 seconds
decode step time: 0.020534515380859375 seconds
decode step time: 0.0206146240234375 seconds
decode step time: 0.020661115646362305 seconds
decode step time: 0.020676612854003906 seconds
decode step time: 0.020705461502075195 seconds
decode step time: 0.0206754207611084 seconds
decode step time: 0.020718812942504883 seconds
decode step time: 0.0206754207611084 seconds
decode step time: 0.020635604858398438 seconds
decode step time: 0.020626544952392578 seconds
decode step time: 0.0205841064453125 seconds
decode step time: 0.020567655563354492 seconds
decode step time: 0.020578622817993164 seconds
decode step time: 0.020557403564453125 seconds
decode step time: 0.02069544792175293 seconds
decode step time: 0.02076578140258789 seconds
decode step time: 0.02076554298400879 seconds
decode step time: 0.020767688751220703 seconds
decode step time: 0.020841598510742188 seconds
decode step time: 0.02071690559387207 seconds
