INFO 07-10 05:44:38 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 05:44:45 [config.py:583] This model supports multiple tasks: {'reward', 'classify', 'embed', 'score', 'generate'}. Defaulting to 'generate'.
WARNING 07-10 05:44:45 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 05:44:45 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=4352, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 05:44:47 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 05:44:47 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 05:44:47 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 05:44:47 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 05:44:50 [loader.py:429] Loading weights took 2.47 seconds
INFO 07-10 05:44:50 [model_runner.py:1181] Model loading took 14.9596 GB and 2.614635 seconds
INFO 07-10 05:44:52 [worker.py:267] Memory profiling takes 2.27 seconds
INFO 07-10 05:44:52 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 05:44:52 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.18GiB; PyTorch activation peak memory takes 0.95GiB; the rest of the memory reserved for KV Cache is 19.46GiB.
INFO 07-10 05:44:52 [executor_base.py:111] # cuda blocks: 9961, # CPU blocks: 2048
INFO 07-10 05:44:52 [executor_base.py:116] Maximum concurrency for 4352 tokens per request: 36.62x
INFO 07-10 05:44:54 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 4.04 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 4096.0, output_len: 256.0
prefill step time: 0.4976167678833008 seconds
decode step time: 0.022502422332763672 seconds
decode step time: 0.04176044464111328 seconds
decode step time: 0.04715108871459961 seconds
decode step time: 0.048146724700927734 seconds
decode step time: 0.04744911193847656 seconds
decode step time: 0.04778552055358887 seconds
decode step time: 0.0475006103515625 seconds
decode step time: 0.04747128486633301 seconds
decode step time: 0.047411203384399414 seconds
decode step time: 0.04761672019958496 seconds
prefill step time: 0.448697566986084 seconds
decode step time: 0.04320216178894043 seconds
decode step time: 0.049784183502197266 seconds
decode step time: 0.06698393821716309 seconds
decode step time: 0.05046486854553223 seconds
decode step time: 0.0515139102935791 seconds
decode step time: 0.05067181587219238 seconds
decode step time: 0.05113101005554199 seconds
decode step time: 0.05073833465576172 seconds
decode step time: 0.05279827117919922 seconds
prefill step time: 0.460205078125 seconds
decode step time: 0.045738935470581055 seconds
decode step time: 0.052156686782836914 seconds
decode step time: 0.05296492576599121 seconds
decode step time: 0.052163124084472656 seconds
decode step time: 0.05190563201904297 seconds
decode step time: 0.05218863487243652 seconds
decode step time: 0.052100181579589844 seconds
decode step time: 0.05295419692993164 seconds
prefill step time: 0.4541018009185791 seconds
decode step time: 0.04859185218811035 seconds
decode step time: 0.05615830421447754 seconds
decode step time: 0.05232548713684082 seconds
prefill step time: 0.42133498191833496 seconds
decode step time: 0.05061984062194824 seconds
decode step time: 0.055985450744628906 seconds
decode step time: 0.05629420280456543 seconds
decode step time: 0.056998491287231445 seconds
decode step time: 0.056299448013305664 seconds
decode step time: 0.0557551383972168 seconds
decode step time: 0.056070804595947266 seconds
decode step time: 0.055166006088256836 seconds
prefill step time: 0.45784783363342285 seconds
decode step time: 0.05108284950256348 seconds
decode step time: 0.057204246520996094 seconds
decode step time: 0.058847665786743164 seconds
decode step time: 0.06051468849182129 seconds
decode step time: 0.059380531311035156 seconds
decode step time: 0.058148860931396484 seconds
decode step time: 0.057750701904296875 seconds
decode step time: 0.057587385177612305 seconds
prefill step time: 0.45810580253601074 seconds
decode step time: 0.05382561683654785 seconds
decode step time: 0.06070089340209961 seconds
decode step time: 0.060296058654785156 seconds
decode step time: 0.06062769889831543 seconds
decode step time: 0.06050848960876465 seconds
decode step time: 0.06071949005126953 seconds
decode step time: 0.060753583908081055 seconds
prefill step time: 0.4538252353668213 seconds
decode step time: 0.05581808090209961 seconds
decode step time: 0.025168418884277344 seconds
decode step time: 0.022850513458251953 seconds
decode step time: 0.05757761001586914 seconds
decode step time: 0.062099456787109375 seconds
decode step time: 0.061521291732788086 seconds
decode step time: 0.06330394744873047 seconds
decode step time: 0.06150388717651367 seconds
decode step time: 0.06206488609313965 seconds
decode step time: 0.0627591609954834 seconds
prefill step time: 0.451977014541626 seconds
decode step time: 0.031957387924194336 seconds
decode step time: 0.02397608757019043 seconds
decode step time: 0.022696495056152344 seconds
decode step time: 0.022076845169067383 seconds
decode step time: 0.022025108337402344 seconds
decode step time: 0.022107839584350586 seconds
decode step time: 0.02206110954284668 seconds
decode step time: 0.02192091941833496 seconds
decode step time: 0.02178168296813965 seconds
decode step time: 0.021654844284057617 seconds
decode step time: 0.021686553955078125 seconds
decode step time: 0.021686315536499023 seconds
decode step time: 0.021956682205200195 seconds
decode step time: 0.021980762481689453 seconds
decode step time: 0.02206873893737793 seconds
decode step time: 0.02193927764892578 seconds
INFO 07-10 05:44:59 [metrics.py:481] Avg prompt throughput: 7351.4 tokens/s, Avg generation throughput: 85.0 tokens/s, Running: 9 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 23.4%, CPU KV cache usage: 0.0%.
decode step time: 0.021721601486206055 seconds
decode step time: 0.021694183349609375 seconds
decode step time: 0.021832942962646484 seconds
decode step time: 0.021800994873046875 seconds
decode step time: 0.02197408676147461 seconds
decode step time: 0.022017955780029297 seconds
decode step time: 0.021996736526489258 seconds
decode step time: 0.021935224533081055 seconds
decode step time: 0.021703720092773438 seconds
decode step time: 0.021688461303710938 seconds
decode step time: 0.021889448165893555 seconds
decode step time: 0.021985530853271484 seconds
decode step time: 0.022042036056518555 seconds
decode step time: 0.02212071418762207 seconds
decode step time: 0.02189040184020996 seconds
decode step time: 0.021880626678466797 seconds
decode step time: 0.021718978881835938 seconds
decode step time: 0.021700143814086914 seconds
decode step time: 0.021929264068603516 seconds
decode step time: 0.02195143699645996 seconds
decode step time: 0.02202582359313965 seconds
decode step time: 0.02196788787841797 seconds
decode step time: 0.02178168296813965 seconds
decode step time: 0.021795272827148438 seconds
decode step time: 0.021757841110229492 seconds
decode step time: 0.02189016342163086 seconds
decode step time: 0.021936893463134766 seconds
decode step time: 0.023278236389160156 seconds
decode step time: 0.022411108016967773 seconds
decode step time: 0.021855592727661133 seconds
decode step time: 0.021795034408569336 seconds
decode step time: 0.02177143096923828 seconds
decode step time: 0.021838665008544922 seconds
decode step time: 0.02215433120727539 seconds
decode step time: 0.021987199783325195 seconds
decode step time: 0.021845340728759766 seconds
decode step time: 0.021737337112426758 seconds
decode step time: 0.021682024002075195 seconds
decode step time: 0.02169346809387207 seconds
decode step time: 0.02194952964782715 seconds
decode step time: 0.02211618423461914 seconds
decode step time: 0.0221560001373291 seconds
decode step time: 0.022010326385498047 seconds
decode step time: 0.02190232276916504 seconds
decode step time: 0.021699905395507812 seconds
decode step time: 0.021746397018432617 seconds
decode step time: 0.021749019622802734 seconds
decode step time: 0.021899700164794922 seconds
decode step time: 0.022030353546142578 seconds
decode step time: 0.021947860717773438 seconds
decode step time: 0.022020578384399414 seconds
decode step time: 0.021796464920043945 seconds
decode step time: 0.02174997329711914 seconds
decode step time: 0.021791458129882812 seconds
decode step time: 0.021855592727661133 seconds
decode step time: 0.021900415420532227 seconds
decode step time: 0.022017955780029297 seconds
decode step time: 0.022051095962524414 seconds
decode step time: 0.02190399169921875 seconds
decode step time: 0.02180171012878418 seconds
decode step time: 0.021749258041381836 seconds
decode step time: 0.021971464157104492 seconds
decode step time: 0.021991491317749023 seconds
decode step time: 0.02203965187072754 seconds
decode step time: 0.022011518478393555 seconds
decode step time: 0.02190232276916504 seconds
decode step time: 0.021848678588867188 seconds
decode step time: 0.021853208541870117 seconds
decode step time: 0.02183985710144043 seconds
decode step time: 0.02201700210571289 seconds
decode step time: 0.021991252899169922 seconds
decode step time: 0.022012948989868164 seconds
decode step time: 0.02208542823791504 seconds
decode step time: 0.021876811981201172 seconds
decode step time: 0.021823883056640625 seconds
decode step time: 0.022341012954711914 seconds
decode step time: 0.02236199378967285 seconds
decode step time: 0.021920204162597656 seconds
decode step time: 0.021860361099243164 seconds
decode step time: 0.022019624710083008 seconds
decode step time: 0.021861791610717773 seconds
decode step time: 0.021898508071899414 seconds
decode step time: 0.02295088768005371 seconds
decode step time: 0.02262258529663086 seconds
decode step time: 0.02190995216369629 seconds
decode step time: 0.021828651428222656 seconds
decode step time: 0.021856307983398438 seconds
decode step time: 0.02187800407409668 seconds
decode step time: 0.021849870681762695 seconds
decode step time: 0.022117137908935547 seconds
decode step time: 0.022154569625854492 seconds
decode step time: 0.022181034088134766 seconds
decode step time: 0.022130966186523438 seconds
decode step time: 0.021935701370239258 seconds
decode step time: 0.0218045711517334 seconds
decode step time: 0.021874427795410156 seconds
decode step time: 0.058861732482910156 seconds
decode step time: 0.06507277488708496 seconds
decode step time: 0.06383991241455078 seconds
decode step time: 0.06480216979980469 seconds
decode step time: 0.06516027450561523 seconds
decode step time: 0.06572508811950684 seconds
prefill step time: 0.4569249153137207 seconds
decode step time: 0.06724929809570312 seconds
decode step time: 0.026430130004882812 seconds
decode step time: 0.024071693420410156 seconds
decode step time: 0.023128747940063477 seconds
decode step time: 0.022631406784057617 seconds
decode step time: 0.022515058517456055 seconds
decode step time: 0.022382259368896484 seconds
decode step time: 0.022531747817993164 seconds
decode step time: 0.022484540939331055 seconds
decode step time: 0.0224609375 seconds
decode step time: 0.022342443466186523 seconds
decode step time: 0.02224898338317871 seconds
decode step time: 0.022369861602783203 seconds
decode step time: 0.02273726463317871 seconds
decode step time: 0.02252960205078125 seconds
decode step time: 0.022446870803833008 seconds
decode step time: 0.022221088409423828 seconds
decode step time: 0.0221250057220459 seconds
decode step time: 0.022558927536010742 seconds
decode step time: 0.023120403289794922 seconds
decode step time: 0.02261972427368164 seconds
decode step time: 0.022576332092285156 seconds
decode step time: 0.02251148223876953 seconds
decode step time: 0.02230381965637207 seconds
decode step time: 0.02216625213623047 seconds
decode step time: 0.022396326065063477 seconds
