INFO 07-10 06:48:06 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 06:48:14 [config.py:583] This model supports multiple tasks: {'classify', 'embed', 'generate', 'score', 'reward'}. Defaulting to 'generate'.
WARNING 07-10 06:48:14 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 06:48:14 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=2304, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 06:48:15 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 06:48:15 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 06:48:15 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 06:48:15 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 06:48:18 [loader.py:429] Loading weights took 2.47 seconds
INFO 07-10 06:48:18 [model_runner.py:1181] Model loading took 14.9596 GB and 2.612537 seconds
INFO 07-10 06:48:19 [worker.py:267] Memory profiling takes 0.60 seconds
INFO 07-10 06:48:19 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 06:48:19 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.08GiB; PyTorch activation peak memory takes 0.94GiB; the rest of the memory reserved for KV Cache is 19.56GiB.
INFO 07-10 06:48:19 [executor_base.py:111] # cuda blocks: 10016, # CPU blocks: 2048
INFO 07-10 06:48:19 [executor_base.py:116] Maximum concurrency for 2304 tokens per request: 69.56x
INFO 07-10 06:48:21 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 2.43 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 2048.0, output_len: 256.0
prefill step time: 0.2368640899658203 seconds
decode step time: 0.019321441650390625 seconds
decode step time: 0.016222238540649414 seconds
decode step time: 0.016000747680664062 seconds
decode step time: 0.015769481658935547 seconds
decode step time: 0.015659332275390625 seconds
decode step time: 0.015615224838256836 seconds
decode step time: 0.015543699264526367 seconds
decode step time: 0.015567302703857422 seconds
decode step time: 0.015555858612060547 seconds
decode step time: 0.015539884567260742 seconds
decode step time: 0.015529155731201172 seconds
decode step time: 0.015508174896240234 seconds
decode step time: 0.01549839973449707 seconds
decode step time: 0.01559138298034668 seconds
decode step time: 0.015524148941040039 seconds
decode step time: 0.015536308288574219 seconds
decode step time: 0.015478372573852539 seconds
prefill step time: 0.17615056037902832 seconds
prefill step time: 0.17720890045166016 seconds
prefill step time: 0.17930865287780762 seconds
prefill step time: 0.17931175231933594 seconds
decode step time: 0.01827549934387207 seconds
decode step time: 0.017835378646850586 seconds
decode step time: 0.017436742782592773 seconds
decode step time: 0.01724386215209961 seconds
decode step time: 0.017114877700805664 seconds
decode step time: 0.017055273056030273 seconds
decode step time: 0.01703476905822754 seconds
decode step time: 0.016986846923828125 seconds
decode step time: 0.01696300506591797 seconds
decode step time: 0.016992568969726562 seconds
decode step time: 0.016980409622192383 seconds
decode step time: 0.016939401626586914 seconds
decode step time: 0.0169374942779541 seconds
decode step time: 0.01704549789428711 seconds
decode step time: 0.016980409622192383 seconds
decode step time: 0.01696300506591797 seconds
decode step time: 0.016945600509643555 seconds
decode step time: 0.016961336135864258 seconds
decode step time: 0.016931533813476562 seconds
decode step time: 0.01694464683532715 seconds
decode step time: 0.01696491241455078 seconds
decode step time: 0.016962289810180664 seconds
prefill step time: 0.1745128631591797 seconds
decode step time: 0.018350839614868164 seconds
decode step time: 0.018033266067504883 seconds
decode step time: 0.017714500427246094 seconds
decode step time: 0.017465591430664062 seconds
decode step time: 0.01739645004272461 seconds
decode step time: 0.01731276512145996 seconds
decode step time: 0.017375946044921875 seconds
decode step time: 0.017291545867919922 seconds
prefill step time: 0.17454743385314941 seconds
decode step time: 0.018538236618041992 seconds
decode step time: 0.018259525299072266 seconds
decode step time: 0.017903566360473633 seconds
decode step time: 0.017725229263305664 seconds
decode step time: 0.01766037940979004 seconds
decode step time: 0.017607927322387695 seconds
decode step time: 0.017576932907104492 seconds
decode step time: 0.017544031143188477 seconds
decode step time: 0.017572402954101562 seconds
decode step time: 0.017590045928955078 seconds
decode step time: 0.017542362213134766 seconds
prefill step time: 0.17472505569458008 seconds
decode step time: 0.019085407257080078 seconds
decode step time: 0.01864480972290039 seconds
decode step time: 0.018396615982055664 seconds
decode step time: 0.018137693405151367 seconds
decode step time: 0.018001079559326172 seconds
decode step time: 0.017958641052246094 seconds
decode step time: 0.017903804779052734 seconds
decode step time: 0.01791238784790039 seconds
decode step time: 0.017920970916748047 seconds
decode step time: 0.017908811569213867 seconds
decode step time: 0.017910003662109375 seconds
decode step time: 0.01788949966430664 seconds
decode step time: 0.017839908599853516 seconds
decode step time: 0.017838239669799805 seconds
decode step time: 0.01785421371459961 seconds
decode step time: 0.017859935760498047 seconds
decode step time: 0.017837047576904297 seconds
decode step time: 0.024870634078979492 seconds
decode step time: 0.017813920974731445 seconds
decode step time: 0.017848491668701172 seconds
decode step time: 0.017847776412963867 seconds
decode step time: 0.017827510833740234 seconds
decode step time: 0.017860889434814453 seconds
decode step time: 0.01782393455505371 seconds
decode step time: 0.017835140228271484 seconds
decode step time: 0.017871618270874023 seconds
decode step time: 0.017900943756103516 seconds
decode step time: 0.017903804779052734 seconds
decode step time: 0.017920732498168945 seconds
decode step time: 0.017971038818359375 seconds
decode step time: 0.017998933792114258 seconds
decode step time: 0.01795506477355957 seconds
decode step time: 0.21186566352844238 seconds
decode step time: 0.01814746856689453 seconds
decode step time: 0.017910480499267578 seconds
decode step time: 0.01786947250366211 seconds
decode step time: 0.017909765243530273 seconds
decode step time: 0.017925262451171875 seconds
decode step time: 0.017926692962646484 seconds
decode step time: 0.017969369888305664 seconds
decode step time: 0.017945528030395508 seconds
decode step time: 0.01795673370361328 seconds
decode step time: 0.017889738082885742 seconds
decode step time: 0.01793813705444336 seconds
decode step time: 0.017914772033691406 seconds
decode step time: 0.017929792404174805 seconds
decode step time: 0.017899036407470703 seconds
decode step time: 0.01783466339111328 seconds
decode step time: 0.01788806915283203 seconds
decode step time: 0.017907381057739258 seconds
decode step time: 0.017907142639160156 seconds
decode step time: 0.017926692962646484 seconds
decode step time: 0.017897844314575195 seconds
decode step time: 0.01792621612548828 seconds
decode step time: 0.0179443359375 seconds
prefill step time: 0.17467451095581055 seconds
decode step time: 0.0193023681640625 seconds
decode step time: 0.0189054012298584 seconds
decode step time: 0.018517732620239258 seconds
decode step time: 0.0183560848236084 seconds
decode step time: 0.018276453018188477 seconds
decode step time: 0.018242597579956055 seconds
decode step time: 0.018207788467407227 seconds
decode step time: 0.018201589584350586 seconds
decode step time: 0.018194198608398438 seconds
decode step time: 0.01821160316467285 seconds
decode step time: 0.01821422576904297 seconds
decode step time: 0.01814723014831543 seconds
decode step time: 0.018218278884887695 seconds
decode step time: 0.018180131912231445 seconds
decode step time: 0.018294811248779297 seconds
decode step time: 0.01824474334716797 seconds
decode step time: 0.01825571060180664 seconds
decode step time: 0.018271684646606445 seconds
decode step time: 0.01826167106628418 seconds
decode step time: 0.01822352409362793 seconds
decode step time: 0.018213748931884766 seconds
decode step time: 0.01828145980834961 seconds
decode step time: 0.01819467544555664 seconds
decode step time: 0.018163442611694336 seconds
decode step time: 0.018127918243408203 seconds
decode step time: 0.018285036087036133 seconds
decode step time: 0.018166303634643555 seconds
decode step time: 0.018202543258666992 seconds
decode step time: 0.018175840377807617 seconds
decode step time: 0.018172502517700195 seconds
decode step time: 0.01818084716796875 seconds
decode step time: 0.018213748931884766 seconds
decode step time: 0.01823568344116211 seconds
decode step time: 0.01828169822692871 seconds
decode step time: 0.018223047256469727 seconds
INFO 07-10 06:48:26 [metrics.py:481] Avg prompt throughput: 3679.1 tokens/s, Avg generation throughput: 202.8 tokens/s, Running: 9 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 12.2%, CPU KV cache usage: 0.0%.
decode step time: 0.018233776092529297 seconds
decode step time: 0.01822209358215332 seconds
decode step time: 0.018238544464111328 seconds
decode step time: 0.018268346786499023 seconds
decode step time: 0.018269777297973633 seconds
decode step time: 0.018329381942749023 seconds
decode step time: 0.018296241760253906 seconds
decode step time: 0.018350601196289062 seconds
decode step time: 0.018283605575561523 seconds
decode step time: 0.018236637115478516 seconds
decode step time: 0.018218994140625 seconds
decode step time: 0.01823878288269043 seconds
decode step time: 0.018237829208374023 seconds
decode step time: 0.018202781677246094 seconds
decode step time: 0.018218517303466797 seconds
decode step time: 0.018247127532958984 seconds
decode step time: 0.018199682235717773 seconds
decode step time: 0.018166303634643555 seconds
decode step time: 0.01819634437561035 seconds
decode step time: 0.018233776092529297 seconds
decode step time: 0.01822662353515625 seconds
decode step time: 0.018230676651000977 seconds
decode step time: 0.018207550048828125 seconds
decode step time: 0.01822972297668457 seconds
decode step time: 0.01828622817993164 seconds
decode step time: 0.018296003341674805 seconds
decode step time: 0.018303394317626953 seconds
decode step time: 0.01825737953186035 seconds
decode step time: 0.018265247344970703 seconds
decode step time: 0.018324613571166992 seconds
decode step time: 0.018317222595214844 seconds
decode step time: 0.018286943435668945 seconds
decode step time: 0.018219470977783203 seconds
decode step time: 0.018251895904541016 seconds
decode step time: 0.018210411071777344 seconds
decode step time: 0.018248796463012695 seconds
decode step time: 0.01820516586303711 seconds
decode step time: 0.018152952194213867 seconds
decode step time: 0.018157243728637695 seconds
decode step time: 0.018167972564697266 seconds
decode step time: 0.018184900283813477 seconds
decode step time: 0.018194198608398438 seconds
decode step time: 0.018268823623657227 seconds
decode step time: 0.018236875534057617 seconds
decode step time: 0.018224000930786133 seconds
decode step time: 0.01825404167175293 seconds
decode step time: 0.01837158203125 seconds
decode step time: 0.018238544464111328 seconds
decode step time: 0.018313169479370117 seconds
decode step time: 0.018259286880493164 seconds
decode step time: 0.018378496170043945 seconds
decode step time: 0.018280506134033203 seconds
decode step time: 0.018322467803955078 seconds
decode step time: 0.01831364631652832 seconds
decode step time: 0.01825571060180664 seconds
decode step time: 0.01823568344116211 seconds
decode step time: 0.018249988555908203 seconds
decode step time: 0.01821732521057129 seconds
decode step time: 0.018256187438964844 seconds
decode step time: 0.018197298049926758 seconds
