INFO 07-10 06:58:08 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 06:58:15 [config.py:583] This model supports multiple tasks: {'score', 'classify', 'reward', 'generate', 'embed'}. Defaulting to 'generate'.
INFO 07-10 06:58:15 [config.py:1693] Chunked prefill is enabled with max_num_batched_tokens=2304.
WARNING 07-10 06:58:15 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 06:58:15 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=2304, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=True, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 06:58:16 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 06:58:16 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 06:58:17 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 06:58:17 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 06:58:19 [loader.py:429] Loading weights took 2.48 seconds
INFO 07-10 06:58:19 [model_runner.py:1181] Model loading took 14.9596 GB and 2.614758 seconds
INFO 07-10 06:58:20 [worker.py:267] Memory profiling takes 0.61 seconds
INFO 07-10 06:58:20 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 06:58:20 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.08GiB; PyTorch activation peak memory takes 0.94GiB; the rest of the memory reserved for KV Cache is 19.56GiB.
INFO 07-10 06:58:20 [executor_base.py:111] # cuda blocks: 10016, # CPU blocks: 2048
INFO 07-10 06:58:20 [executor_base.py:116] Maximum concurrency for 2304 tokens per request: 69.56x
INFO 07-10 06:58:22 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 2.22 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 2048.0, output_len: 256.0
prefill step time: 0.2350482940673828 seconds
decode step time: 0.020733356475830078 seconds
decode step time: 0.017792463302612305 seconds
decode step time: 0.017768144607543945 seconds
decode step time: 0.01767754554748535 seconds
decode step time: 0.01576972007751465 seconds
decode step time: 0.01569390296936035 seconds
decode step time: 0.015616178512573242 seconds
decode step time: 0.015558481216430664 seconds
decode step time: 0.015596628189086914 seconds
decode step time: 0.01557159423828125 seconds
decode step time: 0.015557289123535156 seconds
decode step time: 0.015557289123535156 seconds
decode step time: 0.015529870986938477 seconds
decode step time: 0.0155792236328125 seconds
decode step time: 0.015500783920288086 seconds
decode step time: 0.015496253967285156 seconds
decode step time: 0.015505552291870117 seconds
prefill step time: 0.1830286979675293 seconds
prefill step time: 0.18739032745361328 seconds
prefill step time: 0.18666410446166992 seconds
prefill step time: 0.1890850067138672 seconds
decode step time: 0.018416166305541992 seconds
decode step time: 0.017962217330932617 seconds
decode step time: 0.017540693283081055 seconds
decode step time: 0.017992734909057617 seconds
decode step time: 0.017234086990356445 seconds
decode step time: 0.01709437370300293 seconds
decode step time: 0.01713085174560547 seconds
decode step time: 0.017055511474609375 seconds
decode step time: 0.01702713966369629 seconds
decode step time: 0.017025232315063477 seconds
decode step time: 0.017014265060424805 seconds
decode step time: 0.017148971557617188 seconds
decode step time: 0.017015457153320312 seconds
decode step time: 0.017032623291015625 seconds
decode step time: 0.016992807388305664 seconds
decode step time: 0.01703047752380371 seconds
decode step time: 0.017028331756591797 seconds
decode step time: 0.016937971115112305 seconds
decode step time: 0.016971588134765625 seconds
prefill step time: 0.18393421173095703 seconds
decode step time: 0.018503904342651367 seconds
decode step time: 0.01806354522705078 seconds
decode step time: 0.017784595489501953 seconds
decode step time: 0.017554759979248047 seconds
decode step time: 0.017463207244873047 seconds
decode step time: 0.017472505569458008 seconds
decode step time: 0.017411231994628906 seconds
decode step time: 0.017400741577148438 seconds
prefill step time: 0.18730735778808594 seconds
decode step time: 0.01917433738708496 seconds
decode step time: 0.01844620704650879 seconds
decode step time: 0.01801013946533203 seconds
decode step time: 0.017898082733154297 seconds
decode step time: 0.01778268814086914 seconds
decode step time: 0.017689943313598633 seconds
decode step time: 0.017618179321289062 seconds
decode step time: 0.017589807510375977 seconds
decode step time: 0.017620325088500977 seconds
decode step time: 0.017635583877563477 seconds
prefill step time: 0.18530488014221191 seconds
decode step time: 0.019463300704956055 seconds
decode step time: 0.018722057342529297 seconds
decode step time: 0.01855754852294922 seconds
decode step time: 0.018243074417114258 seconds
decode step time: 0.017980098724365234 seconds
decode step time: 0.017909526824951172 seconds
decode step time: 0.017925262451171875 seconds
decode step time: 0.0178680419921875 seconds
decode step time: 0.017893075942993164 seconds
decode step time: 0.01782083511352539 seconds
decode step time: 0.017848968505859375 seconds
decode step time: 0.0178830623626709 seconds
decode step time: 0.017879486083984375 seconds
decode step time: 0.017948150634765625 seconds
decode step time: 0.017914295196533203 seconds
decode step time: 0.01796889305114746 seconds
decode step time: 0.017967700958251953 seconds
decode step time: 0.027759790420532227 seconds
decode step time: 0.018118858337402344 seconds
decode step time: 0.017907142639160156 seconds
decode step time: 0.01822209358215332 seconds
decode step time: 0.017934560775756836 seconds
decode step time: 0.017882108688354492 seconds
decode step time: 0.017937660217285156 seconds
decode step time: 0.0180661678314209 seconds
decode step time: 0.018014192581176758 seconds
decode step time: 0.01798081398010254 seconds
decode step time: 0.017920970916748047 seconds
decode step time: 0.01794123649597168 seconds
decode step time: 0.017931699752807617 seconds
decode step time: 0.017902851104736328 seconds
decode step time: 0.01789236068725586 seconds
decode step time: 0.20255231857299805 seconds
decode step time: 0.01815176010131836 seconds
decode step time: 0.017898082733154297 seconds
decode step time: 0.01789712905883789 seconds
decode step time: 0.01786637306213379 seconds
decode step time: 0.017902612686157227 seconds
decode step time: 0.017895221710205078 seconds
decode step time: 0.01787424087524414 seconds
decode step time: 0.01793694496154785 seconds
decode step time: 0.01795649528503418 seconds
decode step time: 0.017993927001953125 seconds
decode step time: 0.018027782440185547 seconds
decode step time: 0.01798224449157715 seconds
decode step time: 0.017997264862060547 seconds
decode step time: 0.017921924591064453 seconds
decode step time: 0.01796102523803711 seconds
decode step time: 0.01822185516357422 seconds
decode step time: 0.018076419830322266 seconds
decode step time: 0.017889738082885742 seconds
decode step time: 0.01787877082824707 seconds
decode step time: 0.017923831939697266 seconds
decode step time: 0.01784968376159668 seconds
prefill step time: 0.18557024002075195 seconds
decode step time: 0.019334793090820312 seconds
decode step time: 0.018835783004760742 seconds
decode step time: 0.018487215042114258 seconds
decode step time: 0.018378496170043945 seconds
decode step time: 0.018342971801757812 seconds
decode step time: 0.018747806549072266 seconds
decode step time: 0.018248558044433594 seconds
decode step time: 0.018274307250976562 seconds
decode step time: 0.018241167068481445 seconds
decode step time: 0.01823139190673828 seconds
decode step time: 0.01820230484008789 seconds
decode step time: 0.018218040466308594 seconds
decode step time: 0.018255233764648438 seconds
decode step time: 0.018207073211669922 seconds
decode step time: 0.018325328826904297 seconds
decode step time: 0.018211841583251953 seconds
decode step time: 0.018282651901245117 seconds
decode step time: 0.018271446228027344 seconds
decode step time: 0.018308162689208984 seconds
decode step time: 0.018252134323120117 seconds
decode step time: 0.018378496170043945 seconds
decode step time: 0.018333911895751953 seconds
decode step time: 0.018305540084838867 seconds
decode step time: 0.01824474334716797 seconds
decode step time: 0.018232345581054688 seconds
decode step time: 0.018280744552612305 seconds
decode step time: 0.018316268920898438 seconds
decode step time: 0.018277645111083984 seconds
decode step time: 0.0182192325592041 seconds
decode step time: 0.0181577205657959 seconds
decode step time: 0.018187522888183594 seconds
decode step time: 0.018198013305664062 seconds
decode step time: 0.018213748931884766 seconds
decode step time: 0.018217086791992188 seconds
decode step time: 0.01821756362915039 seconds
INFO 07-10 06:58:27 [metrics.py:481] Avg prompt throughput: 3677.4 tokens/s, Avg generation throughput: 203.9 tokens/s, Running: 9 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 12.2%, CPU KV cache usage: 0.0%.
decode step time: 0.018289566040039062 seconds
decode step time: 0.018268585205078125 seconds
decode step time: 0.018250226974487305 seconds
decode step time: 0.018245220184326172 seconds
decode step time: 0.018250703811645508 seconds
decode step time: 0.01837301254272461 seconds
decode step time: 0.018315792083740234 seconds
decode step time: 0.018313169479370117 seconds
decode step time: 0.018311023712158203 seconds
decode step time: 0.018355131149291992 seconds
decode step time: 0.018349885940551758 seconds
decode step time: 0.018344879150390625 seconds
decode step time: 0.018290281295776367 seconds
decode step time: 0.018261432647705078 seconds
decode step time: 0.018244028091430664 seconds
decode step time: 0.0182650089263916 seconds
decode step time: 0.018253087997436523 seconds
decode step time: 0.018418073654174805 seconds
decode step time: 0.01851677894592285 seconds
decode step time: 0.018227338790893555 seconds
decode step time: 0.01820659637451172 seconds
decode step time: 0.01821279525756836 seconds
decode step time: 0.01819753646850586 seconds
decode step time: 0.018199920654296875 seconds
decode step time: 0.018212080001831055 seconds
decode step time: 0.018260478973388672 seconds
decode step time: 0.01819777488708496 seconds
decode step time: 0.018286943435668945 seconds
decode step time: 0.018258333206176758 seconds
decode step time: 0.018445253372192383 seconds
decode step time: 0.0183255672454834 seconds
decode step time: 0.018316984176635742 seconds
decode step time: 0.01829695701599121 seconds
decode step time: 0.018310546875 seconds
decode step time: 0.018308639526367188 seconds
decode step time: 0.018369436264038086 seconds
decode step time: 0.018374919891357422 seconds
decode step time: 0.01833319664001465 seconds
decode step time: 0.018273591995239258 seconds
decode step time: 0.018265247344970703 seconds
decode step time: 0.018234968185424805 seconds
decode step time: 0.018274784088134766 seconds
decode step time: 0.018278121948242188 seconds
decode step time: 0.018240690231323242 seconds
decode step time: 0.018204212188720703 seconds
decode step time: 0.018204689025878906 seconds
decode step time: 0.018285036087036133 seconds
decode step time: 0.018213510513305664 seconds
decode step time: 0.0182497501373291 seconds
decode step time: 0.018276691436767578 seconds
decode step time: 0.01827692985534668 seconds
decode step time: 0.018328428268432617 seconds
decode step time: 0.018334627151489258 seconds
decode step time: 0.018358707427978516 seconds
decode step time: 0.018336057662963867 seconds
decode step time: 0.018349885940551758 seconds
decode step time: 0.01829385757446289 seconds
decode step time: 0.01833796501159668 seconds
decode step time: 0.018366098403930664 seconds
decode step time: 0.018386125564575195 seconds
decode step time: 0.018367767333984375 seconds
decode step time: 0.018336772918701172 seconds
