INFO 07-10 06:51:26 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 06:51:33 [config.py:583] This model supports multiple tasks: {'generate', 'classify', 'score', 'reward', 'embed'}. Defaulting to 'generate'.
WARNING 07-10 06:51:33 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 06:51:33 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=2304, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 06:51:35 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 06:51:35 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 06:51:35 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 06:51:35 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 06:51:38 [loader.py:429] Loading weights took 2.48 seconds
INFO 07-10 06:51:38 [model_runner.py:1181] Model loading took 14.9596 GB and 2.621688 seconds
INFO 07-10 06:51:40 [worker.py:267] Memory profiling takes 2.14 seconds
INFO 07-10 06:51:40 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 06:51:40 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.18GiB; PyTorch activation peak memory takes 0.94GiB; the rest of the memory reserved for KV Cache is 19.47GiB.
INFO 07-10 06:51:40 [executor_base.py:111] # cuda blocks: 9968, # CPU blocks: 2048
INFO 07-10 06:51:40 [executor_base.py:116] Maximum concurrency for 2304 tokens per request: 69.22x
INFO 07-10 06:51:42 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 4.25 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 2048.0, output_len: 256.0
prefill step time: 0.30606770515441895 seconds
decode step time: 0.021780967712402344 seconds
decode step time: 0.01805710792541504 seconds
decode step time: 0.017697572708129883 seconds
decode step time: 0.017604827880859375 seconds
decode step time: 0.017542362213134766 seconds
decode step time: 0.017633676528930664 seconds
decode step time: 0.017621278762817383 seconds
decode step time: 0.017619848251342773 seconds
decode step time: 0.017536401748657227 seconds
decode step time: 0.01751542091369629 seconds
decode step time: 0.017449617385864258 seconds
decode step time: 0.02717304229736328 seconds
decode step time: 0.028260469436645508 seconds
decode step time: 0.033713579177856445 seconds
decode step time: 0.028878211975097656 seconds
decode step time: 0.02890944480895996 seconds
decode step time: 0.029028654098510742 seconds
decode step time: 0.028937816619873047 seconds
decode step time: 0.02930164337158203 seconds
prefill step time: 0.2528352737426758 seconds
decode step time: 0.029221773147583008 seconds
decode step time: 0.029870271682739258 seconds
prefill step time: 0.23432254791259766 seconds
decode step time: 0.030442237854003906 seconds
decode step time: 0.02972245216369629 seconds
decode step time: 0.031127452850341797 seconds
decode step time: 0.031182527542114258 seconds
decode step time: 0.031088590621948242 seconds
decode step time: 0.031091928482055664 seconds
decode step time: 0.031136751174926758 seconds
decode step time: 0.031136512756347656 seconds
prefill step time: 0.2563283443450928 seconds
decode step time: 0.030213356018066406 seconds
decode step time: 0.032425642013549805 seconds
decode step time: 0.032657623291015625 seconds
decode step time: 0.033106327056884766 seconds
decode step time: 0.03252553939819336 seconds
decode step time: 0.032079458236694336 seconds
decode step time: 0.03147411346435547 seconds
decode step time: 0.03168487548828125 seconds
prefill step time: 0.26366639137268066 seconds
decode step time: 0.023759841918945312 seconds
decode step time: 0.02086043357849121 seconds
decode step time: 0.019735336303710938 seconds
decode step time: 0.01930522918701172 seconds
decode step time: 0.01914238929748535 seconds
decode step time: 0.029527902603149414 seconds
decode step time: 0.03240776062011719 seconds
decode step time: 0.03292226791381836 seconds
decode step time: 0.03270888328552246 seconds
decode step time: 0.03242135047912598 seconds
decode step time: 0.031780242919921875 seconds
decode step time: 0.0320429801940918 seconds
prefill step time: 0.2550389766693115 seconds
decode step time: 0.029988527297973633 seconds
decode step time: 0.02156376838684082 seconds
decode step time: 0.02073502540588379 seconds
decode step time: 0.019712448120117188 seconds
decode step time: 0.01940774917602539 seconds
decode step time: 0.03050374984741211 seconds
decode step time: 0.03207111358642578 seconds
decode step time: 0.03315567970275879 seconds
decode step time: 0.03293251991271973 seconds
decode step time: 0.03322911262512207 seconds
decode step time: 0.03277420997619629 seconds
decode step time: 0.032654762268066406 seconds
prefill step time: 0.2532477378845215 seconds
decode step time: 0.02870798110961914 seconds
decode step time: 0.02208089828491211 seconds
decode step time: 0.02066802978515625 seconds
decode step time: 0.01999044418334961 seconds
decode step time: 0.019741296768188477 seconds
decode step time: 0.019554615020751953 seconds
decode step time: 0.03109264373779297 seconds
decode step time: 0.0326383113861084 seconds
decode step time: 0.034218788146972656 seconds
decode step time: 0.03450942039489746 seconds
decode step time: 0.03404664993286133 seconds
decode step time: 0.033707380294799805 seconds
decode step time: 0.0339665412902832 seconds
prefill step time: 0.2549624443054199 seconds
decode step time: 0.027163028717041016 seconds
decode step time: 0.02233576774597168 seconds
decode step time: 0.02095174789428711 seconds
decode step time: 0.020421981811523438 seconds
decode step time: 0.020030736923217773 seconds
decode step time: 0.019886255264282227 seconds
decode step time: 0.019840478897094727 seconds
decode step time: 0.019739866256713867 seconds
decode step time: 0.0197908878326416 seconds
decode step time: 0.019704103469848633 seconds
decode step time: 0.019780874252319336 seconds
decode step time: 0.01980113983154297 seconds
decode step time: 0.01972222328186035 seconds
decode step time: 0.019731760025024414 seconds
decode step time: 0.01969742774963379 seconds
decode step time: 0.01967167854309082 seconds
decode step time: 0.01964092254638672 seconds
decode step time: 0.019751310348510742 seconds
decode step time: 0.019789457321166992 seconds
decode step time: 0.01975870132446289 seconds
decode step time: 0.019774436950683594 seconds
decode step time: 0.019850969314575195 seconds
decode step time: 0.019707202911376953 seconds
decode step time: 0.019767284393310547 seconds
decode step time: 0.019725561141967773 seconds
decode step time: 0.01980447769165039 seconds
decode step time: 0.019794940948486328 seconds
decode step time: 0.01988697052001953 seconds
decode step time: 0.01983046531677246 seconds
decode step time: 0.019803285598754883 seconds
decode step time: 0.01971912384033203 seconds
decode step time: 0.01971268653869629 seconds
decode step time: 0.019715309143066406 seconds
decode step time: 0.01975870132446289 seconds
decode step time: 0.019823074340820312 seconds
decode step time: 0.019793272018432617 seconds
decode step time: 0.01976799964904785 seconds
decode step time: 0.01978445053100586 seconds
decode step time: 0.019746065139770508 seconds
decode step time: 0.0197446346282959 seconds
decode step time: 0.019812583923339844 seconds
decode step time: 0.019677400588989258 seconds
decode step time: 0.019695758819580078 seconds
decode step time: 0.019752979278564453 seconds
decode step time: 0.0198214054107666 seconds
decode step time: 0.019789934158325195 seconds
decode step time: 0.01996302604675293 seconds
decode step time: 0.01997542381286621 seconds
decode step time: 0.01992201805114746 seconds
decode step time: 0.019858360290527344 seconds
decode step time: 0.019751310348510742 seconds
decode step time: 0.01974320411682129 seconds
decode step time: 0.019730091094970703 seconds
decode step time: 0.019752979278564453 seconds
decode step time: 0.01989912986755371 seconds
decode step time: 0.019907474517822266 seconds
decode step time: 0.03209710121154785 seconds
decode step time: 0.0345921516418457 seconds
decode step time: 0.034857749938964844 seconds
decode step time: 0.03490567207336426 seconds
decode step time: 0.03502678871154785 seconds
decode step time: 0.0345151424407959 seconds
decode step time: 0.034757137298583984 seconds
prefill step time: 0.25592780113220215 seconds
decode step time: 0.025480985641479492 seconds
decode step time: 0.022177696228027344 seconds
decode step time: 0.021217823028564453 seconds
decode step time: 0.0206301212310791 seconds
decode step time: 0.02039337158203125 seconds
decode step time: 0.020261287689208984 seconds
decode step time: 0.020210981369018555 seconds
decode step time: 0.020265817642211914 seconds
decode step time: 0.020177364349365234 seconds
decode step time: 0.020196914672851562 seconds
decode step time: 0.02009892463684082 seconds
decode step time: 0.020084381103515625 seconds
decode step time: 0.020023345947265625 seconds
decode step time: 0.02010059356689453 seconds
decode step time: 0.020235300064086914 seconds
decode step time: 0.020041704177856445 seconds
decode step time: 0.020091533660888672 seconds
decode step time: 0.020141124725341797 seconds
decode step time: 0.02011275291442871 seconds
decode step time: 0.020186901092529297 seconds
decode step time: 0.020176172256469727 seconds
decode step time: 0.020150184631347656 seconds
decode step time: 0.020182371139526367 seconds
decode step time: 0.02011704444885254 seconds
decode step time: 0.020155906677246094 seconds
decode step time: 0.02008533477783203 seconds
decode step time: 0.020096302032470703 seconds
INFO 07-10 06:51:47 [metrics.py:481] Avg prompt throughput: 3673.3 tokens/s, Avg generation throughput: 209.3 tokens/s, Running: 9 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 12.2%, CPU KV cache usage: 0.0%.
decode step time: 0.020150423049926758 seconds
decode step time: 0.020070791244506836 seconds
decode step time: 0.020108461380004883 seconds
decode step time: 0.020168066024780273 seconds
decode step time: 0.0201723575592041 seconds
decode step time: 0.020075321197509766 seconds
decode step time: 0.02012038230895996 seconds
decode step time: 0.02007579803466797 seconds
decode step time: 0.02012467384338379 seconds
decode step time: 0.020110368728637695 seconds
decode step time: 0.02017378807067871 seconds
decode step time: 0.020041942596435547 seconds
decode step time: 0.020093917846679688 seconds
decode step time: 0.020112037658691406 seconds
decode step time: 0.020112037658691406 seconds
decode step time: 0.02008533477783203 seconds
decode step time: 0.020111560821533203 seconds
decode step time: 0.020142555236816406 seconds
decode step time: 0.02006983757019043 seconds
decode step time: 0.020083904266357422 seconds
decode step time: 0.020159244537353516 seconds
decode step time: 0.02006053924560547 seconds
decode step time: 0.020118236541748047 seconds
decode step time: 0.020146608352661133 seconds
decode step time: 0.02016758918762207 seconds
decode step time: 0.02009439468383789 seconds
decode step time: 0.020122051239013672 seconds
decode step time: 0.020084619522094727 seconds
decode step time: 0.020176410675048828 seconds
decode step time: 0.02020263671875 seconds
decode step time: 0.020262479782104492 seconds
decode step time: 0.020258426666259766 seconds
decode step time: 0.020210742950439453 seconds
decode step time: 0.020223617553710938 seconds
decode step time: 0.02008533477783203 seconds
decode step time: 0.020082473754882812 seconds
decode step time: 0.020135879516601562 seconds
decode step time: 0.020133495330810547 seconds
decode step time: 0.020112037658691406 seconds
decode step time: 0.02013254165649414 seconds
decode step time: 0.020163774490356445 seconds
decode step time: 0.020050525665283203 seconds
decode step time: 0.02013421058654785 seconds
decode step time: 0.020166635513305664 seconds
