INFO 07-10 06:54:48 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 06:54:55 [config.py:583] This model supports multiple tasks: {'reward', 'score', 'classify', 'embed', 'generate'}. Defaulting to 'generate'.
WARNING 07-10 06:54:55 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 06:54:55 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=2304, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 06:54:56 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 06:54:57 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 06:54:57 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 06:54:57 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 06:54:59 [loader.py:429] Loading weights took 2.48 seconds
INFO 07-10 06:55:00 [model_runner.py:1181] Model loading took 14.9596 GB and 2.617758 seconds
INFO 07-10 06:55:00 [worker.py:267] Memory profiling takes 0.64 seconds
INFO 07-10 06:55:00 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 06:55:00 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.08GiB; PyTorch activation peak memory takes 0.94GiB; the rest of the memory reserved for KV Cache is 19.56GiB.
INFO 07-10 06:55:01 [executor_base.py:111] # cuda blocks: 10016, # CPU blocks: 2048
INFO 07-10 06:55:01 [executor_base.py:116] Maximum concurrency for 2304 tokens per request: 69.56x
INFO 07-10 06:55:02 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 2.56 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 2048.0, output_len: 256.0
prefill step time: 0.2705705165863037 seconds
decode step time: 0.02391338348388672 seconds
decode step time: 0.01651453971862793 seconds
decode step time: 0.016010522842407227 seconds
decode step time: 0.01581263542175293 seconds
decode step time: 0.015735149383544922 seconds
decode step time: 0.015688419342041016 seconds
decode step time: 0.015637874603271484 seconds
decode step time: 0.015590190887451172 seconds
decode step time: 0.01560211181640625 seconds
decode step time: 0.015582561492919922 seconds
decode step time: 0.015569448471069336 seconds
decode step time: 0.015587568283081055 seconds
decode step time: 0.01560521125793457 seconds
decode step time: 0.015663623809814453 seconds
decode step time: 0.015559673309326172 seconds
decode step time: 0.06870150566101074 seconds
decode step time: 0.06826019287109375 seconds
prefill step time: 0.20041751861572266 seconds
decode step time: 0.060443878173828125 seconds
decode step time: 0.2974865436553955 seconds
decode step time: 0.0710287094116211 seconds
prefill step time: 0.393878698348999 seconds
decode step time: 0.0632479190826416 seconds
decode step time: 0.07235527038574219 seconds
decode step time: 0.07352042198181152 seconds
prefill step time: 0.19974541664123535 seconds
decode step time: 0.05971217155456543 seconds
decode step time: 0.07046175003051758 seconds
prefill step time: 0.19987201690673828 seconds
decode step time: 0.07085132598876953 seconds
decode step time: 0.018220901489257812 seconds
decode step time: 0.01775979995727539 seconds
decode step time: 0.017628908157348633 seconds
decode step time: 0.017190933227539062 seconds
decode step time: 0.01707315444946289 seconds
decode step time: 0.071044921875 seconds
decode step time: 0.07506871223449707 seconds
prefill step time: 0.19836688041687012 seconds
decode step time: 0.05579376220703125 seconds
decode step time: 0.018942832946777344 seconds
decode step time: 0.018049001693725586 seconds
decode step time: 0.017696380615234375 seconds
decode step time: 0.017536401748657227 seconds
decode step time: 0.017476320266723633 seconds
decode step time: 0.017409563064575195 seconds
decode step time: 0.017366647720336914 seconds
decode step time: 0.07242965698242188 seconds
decode step time: 0.07483196258544922 seconds
prefill step time: 0.1976790428161621 seconds
decode step time: 0.05180668830871582 seconds
decode step time: 0.01899862289428711 seconds
decode step time: 0.018295764923095703 seconds
decode step time: 0.01800537109375 seconds
decode step time: 0.017856597900390625 seconds
decode step time: 0.017689228057861328 seconds
decode step time: 0.01776909828186035 seconds
decode step time: 0.01759028434753418 seconds
decode step time: 0.0175936222076416 seconds
decode step time: 0.017598390579223633 seconds
decode step time: 0.07720661163330078 seconds
decode step time: 0.08437991142272949 seconds
prefill step time: 0.19272494316101074 seconds
decode step time: 0.0373845100402832 seconds
decode step time: 0.018955707550048828 seconds
decode step time: 0.018561601638793945 seconds
decode step time: 0.018197298049926758 seconds
decode step time: 0.01806163787841797 seconds
decode step time: 0.017993688583374023 seconds
decode step time: 0.017911434173583984 seconds
decode step time: 0.017945051193237305 seconds
decode step time: 0.018036365509033203 seconds
decode step time: 0.017951250076293945 seconds
decode step time: 0.017895221710205078 seconds
decode step time: 0.017885923385620117 seconds
decode step time: 0.017935514450073242 seconds
decode step time: 0.017946243286132812 seconds
decode step time: 0.017950057983398438 seconds
decode step time: 0.01790022850036621 seconds
decode step time: 0.01793193817138672 seconds
decode step time: 0.017947673797607422 seconds
decode step time: 0.017892122268676758 seconds
decode step time: 0.017889738082885742 seconds
decode step time: 0.017817258834838867 seconds
decode step time: 0.01786065101623535 seconds
decode step time: 0.017858266830444336 seconds
decode step time: 0.017945051193237305 seconds
decode step time: 0.017885446548461914 seconds
decode step time: 0.017908811569213867 seconds
decode step time: 0.017945289611816406 seconds
decode step time: 0.01795196533203125 seconds
decode step time: 0.017975807189941406 seconds
decode step time: 0.017962217330932617 seconds
decode step time: 0.017942428588867188 seconds
decode step time: 0.01793694496154785 seconds
decode step time: 0.01788616180419922 seconds
decode step time: 0.017911911010742188 seconds
decode step time: 0.017885684967041016 seconds
decode step time: 0.01786971092224121 seconds
decode step time: 0.017856121063232422 seconds
decode step time: 0.01790642738342285 seconds
decode step time: 0.01798868179321289 seconds
decode step time: 0.01795029640197754 seconds
decode step time: 0.01788783073425293 seconds
decode step time: 0.017882823944091797 seconds
decode step time: 0.017948150634765625 seconds
decode step time: 0.017974853515625 seconds
decode step time: 0.017979145050048828 seconds
decode step time: 0.017915010452270508 seconds
decode step time: 0.01791858673095703 seconds
decode step time: 0.017937660217285156 seconds
decode step time: 0.01794147491455078 seconds
decode step time: 0.017912864685058594 seconds
decode step time: 0.01786184310913086 seconds
decode step time: 0.017885923385620117 seconds
decode step time: 0.01787114143371582 seconds
decode step time: 0.01793646812438965 seconds
decode step time: 0.017921924591064453 seconds
decode step time: 0.017935991287231445 seconds
decode step time: 0.017954587936401367 seconds
decode step time: 0.01799178123474121 seconds
decode step time: 0.01796245574951172 seconds
decode step time: 0.01883721351623535 seconds
decode step time: 0.018472671508789062 seconds
decode step time: 0.017961740493774414 seconds
decode step time: 0.01792120933532715 seconds
decode step time: 0.01792740821838379 seconds
decode step time: 0.017914533615112305 seconds
decode step time: 0.08243799209594727 seconds
decode step time: 0.08632922172546387 seconds
prefill step time: 0.1965644359588623 seconds
decode step time: 0.037215471267700195 seconds
decode step time: 0.019526004791259766 seconds
decode step time: 0.018877506256103516 seconds
decode step time: 0.01866936683654785 seconds
decode step time: 0.01844048500061035 seconds
decode step time: 0.01845574378967285 seconds
decode step time: 0.01861429214477539 seconds
decode step time: 0.018831253051757812 seconds
decode step time: 0.018328428268432617 seconds
decode step time: 0.018312454223632812 seconds
decode step time: 0.018320322036743164 seconds
decode step time: 0.01830577850341797 seconds
decode step time: 0.01820659637451172 seconds
decode step time: 0.018219470977783203 seconds
decode step time: 0.01827383041381836 seconds
decode step time: 0.018215179443359375 seconds
decode step time: 0.01821160316467285 seconds
decode step time: 0.018191099166870117 seconds
decode step time: 0.0181429386138916 seconds
decode step time: 0.018188953399658203 seconds
decode step time: 0.01817774772644043 seconds
decode step time: 0.01820850372314453 seconds
decode step time: 0.01831650733947754 seconds
decode step time: 0.018217086791992188 seconds
decode step time: 0.01820230484008789 seconds
decode step time: 0.018219470977783203 seconds
decode step time: 0.018206357955932617 seconds
decode step time: 0.01826333999633789 seconds
decode step time: 0.018247127532958984 seconds
decode step time: 0.018273115158081055 seconds
decode step time: 0.01828455924987793 seconds
decode step time: 0.01829242706298828 seconds
decode step time: 0.018283367156982422 seconds
INFO 07-10 06:55:07 [metrics.py:481] Avg prompt throughput: 3676.8 tokens/s, Avg generation throughput: 211.1 tokens/s, Running: 9 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 12.2%, CPU KV cache usage: 0.0%.
decode step time: 0.018279552459716797 seconds
decode step time: 0.018293380737304688 seconds
decode step time: 0.018256425857543945 seconds
decode step time: 0.018232107162475586 seconds
decode step time: 0.018212318420410156 seconds
decode step time: 0.018209457397460938 seconds
decode step time: 0.018200397491455078 seconds
decode step time: 0.018190383911132812 seconds
decode step time: 0.018143415451049805 seconds
decode step time: 0.01818060874938965 seconds
decode step time: 0.018223047256469727 seconds
decode step time: 0.018277883529663086 seconds
decode step time: 0.018233060836791992 seconds
decode step time: 0.01823258399963379 seconds
decode step time: 0.01820969581604004 seconds
decode step time: 0.01822829246520996 seconds
decode step time: 0.018281936645507812 seconds
decode step time: 0.018346309661865234 seconds
decode step time: 0.018354415893554688 seconds
decode step time: 0.01830148696899414 seconds
decode step time: 0.0182650089263916 seconds
decode step time: 0.018292903900146484 seconds
decode step time: 0.018347501754760742 seconds
decode step time: 0.018279552459716797 seconds
decode step time: 0.018238067626953125 seconds
decode step time: 0.018205881118774414 seconds
decode step time: 0.018231868743896484 seconds
decode step time: 0.018236875534057617 seconds
decode step time: 0.018184900283813477 seconds
decode step time: 0.018203258514404297 seconds
decode step time: 0.018213272094726562 seconds
decode step time: 0.018175125122070312 seconds
decode step time: 0.018210172653198242 seconds
decode step time: 0.0183258056640625 seconds
decode step time: 0.018248558044433594 seconds
decode step time: 0.01827859878540039 seconds
decode step time: 0.018260717391967773 seconds
decode step time: 0.0182492733001709 seconds
decode step time: 0.018291711807250977 seconds
decode step time: 0.01832294464111328 seconds
decode step time: 0.01830458641052246 seconds
decode step time: 0.018305301666259766 seconds
decode step time: 0.018295764923095703 seconds
decode step time: 0.018336772918701172 seconds
decode step time: 0.0183408260345459 seconds
decode step time: 0.018349885940551758 seconds
decode step time: 0.018296480178833008 seconds
decode step time: 0.018269062042236328 seconds
decode step time: 0.018259048461914062 seconds
decode step time: 0.018236398696899414 seconds
decode step time: 0.018239498138427734 seconds
decode step time: 0.0182192325592041 seconds
decode step time: 0.018202543258666992 seconds
