INFO 07-10 07:31:28 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 07:31:35 [config.py:583] This model supports multiple tasks: {'score', 'reward', 'generate', 'embed', 'classify'}. Defaulting to 'generate'.
WARNING 07-10 07:31:35 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 07:31:35 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=4224, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 07:31:37 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 07:31:37 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 07:31:37 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 07:31:37 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 07:31:40 [loader.py:429] Loading weights took 2.45 seconds
INFO 07-10 07:31:40 [model_runner.py:1181] Model loading took 14.9596 GB and 2.586666 seconds
INFO 07-10 07:31:42 [worker.py:267] Memory profiling takes 2.28 seconds
INFO 07-10 07:31:42 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 07:31:42 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.18GiB; PyTorch activation peak memory takes 0.95GiB; the rest of the memory reserved for KV Cache is 19.46GiB.
INFO 07-10 07:31:43 [executor_base.py:111] # cuda blocks: 9961, # CPU blocks: 2048
INFO 07-10 07:31:43 [executor_base.py:116] Maximum concurrency for 4224 tokens per request: 37.73x
INFO 07-10 07:31:44 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 4.36 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  1.69982976   4.24882251   4.29833917   4.30401249   5.67986967
   9.75472076  11.43867814  13.32693153  20.36889648  35.51327918
  43.72934982  43.7325692   49.40530586  49.58655007  52.26005083
  54.3823834   62.25715503  63.14218014  63.90995799  67.64050652
  67.73301702  68.07134405  70.64683932  72.58320986  76.92740614
  77.96158135  79.08210826  83.71233914  88.02537317  88.83402135
  89.3609249   92.4191598   93.76497031  95.90168304  98.52348857
 101.60391518 108.92433846 109.30856036 112.97307265 115.78366647
 120.52879252 122.02627245 123.19798411 125.2407524  125.9019256
 127.76648182 128.03163696 132.14900545 137.84710087 139.22735705
 147.13418443 147.40344101 148.10229799 148.8454197  150.75431204
 153.09367519 154.43353222 154.7449173  159.73989569 160.98355548
 161.26748027 163.19557134 163.93682044 164.97662576 165.60630295
 166.89421897 169.38848062 169.63054354 172.58686712 179.78712402], input_len: 4096.0, output_len: 128.0
prefill step time: 0.5186045169830322 seconds
decode step time: 0.02250361442565918 seconds
decode step time: 0.019071102142333984 seconds
decode step time: 0.018880367279052734 seconds
decode step time: 0.018660306930541992 seconds
decode step time: 0.01774311065673828 seconds
decode step time: 0.01768779754638672 seconds
decode step time: 0.017688274383544922 seconds
decode step time: 0.01765298843383789 seconds
decode step time: 0.017949581146240234 seconds
decode step time: 0.017844676971435547 seconds
decode step time: 0.017539024353027344 seconds
decode step time: 0.01755523681640625 seconds
decode step time: 0.01754164695739746 seconds
decode step time: 0.017564058303833008 seconds
decode step time: 0.017548799514770508 seconds
decode step time: 0.017540931701660156 seconds
decode step time: 0.017551422119140625 seconds
decode step time: 0.017625808715820312 seconds
decode step time: 0.017497539520263672 seconds
decode step time: 0.017579317092895508 seconds
decode step time: 0.017540693283081055 seconds
decode step time: 0.017549991607666016 seconds
decode step time: 0.017567873001098633 seconds
decode step time: 0.017559528350830078 seconds
decode step time: 0.017576932907104492 seconds
decode step time: 0.017503023147583008 seconds
decode step time: 0.01748347282409668 seconds
decode step time: 0.017557144165039062 seconds
decode step time: 0.017505884170532227 seconds
decode step time: 0.017537593841552734 seconds
decode step time: 0.017576932907104492 seconds
decode step time: 0.01756119728088379 seconds
decode step time: 0.017574787139892578 seconds
decode step time: 0.017583847045898438 seconds
decode step time: 0.01756453514099121 seconds
decode step time: 0.017562150955200195 seconds
decode step time: 0.017546892166137695 seconds
decode step time: 0.01761150360107422 seconds
decode step time: 0.017573833465576172 seconds
decode step time: 0.017528057098388672 seconds
decode step time: 0.0175325870513916 seconds
decode step time: 0.017611026763916016 seconds
decode step time: 0.017517566680908203 seconds
decode step time: 0.017554521560668945 seconds
decode step time: 0.017531394958496094 seconds
decode step time: 0.01752614974975586 seconds
decode step time: 0.01757073402404785 seconds
decode step time: 0.017571449279785156 seconds
decode step time: 0.01757192611694336 seconds
decode step time: 0.017522096633911133 seconds
decode step time: 0.017459630966186523 seconds
decode step time: 0.017475605010986328 seconds
decode step time: 0.017543792724609375 seconds
decode step time: 0.017589807510375977 seconds
decode step time: 0.01753067970275879 seconds
decode step time: 0.01755690574645996 seconds
decode step time: 0.017564773559570312 seconds
decode step time: 0.017467498779296875 seconds
decode step time: 0.01751399040222168 seconds
decode step time: 0.017525672912597656 seconds
