INFO 07-10 08:24:47 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 08:24:54 [config.py:583] This model supports multiple tasks: {'embed', 'score', 'reward', 'generate', 'classify'}. Defaulting to 'generate'.
WARNING 07-10 08:24:54 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 08:24:54 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=4224, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 08:24:56 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 08:24:56 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 08:24:56 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 08:24:56 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 08:25:00 [loader.py:429] Loading weights took 4.09 seconds
INFO 07-10 08:25:00 [model_runner.py:1181] Model loading took 14.9596 GB and 4.232149 seconds
INFO 07-10 08:25:01 [worker.py:267] Memory profiling takes 0.74 seconds
INFO 07-10 08:25:01 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 08:25:01 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.08GiB; PyTorch activation peak memory takes 0.95GiB; the rest of the memory reserved for KV Cache is 19.55GiB.
INFO 07-10 08:25:01 [executor_base.py:111] # cuda blocks: 10009, # CPU blocks: 2048
INFO 07-10 08:25:01 [executor_base.py:116] Maximum concurrency for 4224 tokens per request: 37.91x
INFO 07-10 08:25:03 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 2.63 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 4096.0, output_len: 128.0
prefill step time: 0.4392893314361572 seconds
decode step time: 0.020302772521972656 seconds
decode step time: 0.01661825180053711 seconds
decode step time: 0.016244888305664062 seconds
decode step time: 0.01604628562927246 seconds
prefill step time: 0.3560619354248047 seconds
prefill step time: 0.35891103744506836 seconds
prefill step time: 0.36106038093566895 seconds
prefill step time: 0.36127710342407227 seconds
prefill step time: 0.35991716384887695 seconds
prefill step time: 0.3607218265533447 seconds
prefill step time: 0.3612217903137207 seconds
decode step time: 0.021576881408691406 seconds
decode step time: 0.020488262176513672 seconds
decode step time: 0.019993305206298828 seconds
decode step time: 0.019791841506958008 seconds
decode step time: 0.01974177360534668 seconds
decode step time: 0.020298480987548828 seconds
decode step time: 0.019565582275390625 seconds
decode step time: 0.01952838897705078 seconds
decode step time: 0.01949596405029297 seconds
decode step time: 0.019573688507080078 seconds
decode step time: 0.019565105438232422 seconds
decode step time: 0.01952075958251953 seconds
decode step time: 0.01953864097595215 seconds
decode step time: 0.01950383186340332 seconds
decode step time: 0.01947307586669922 seconds
decode step time: 0.019494056701660156 seconds
decode step time: 0.01948070526123047 seconds
decode step time: 0.019522428512573242 seconds
decode step time: 0.019554853439331055 seconds
decode step time: 0.019635438919067383 seconds
decode step time: 0.019489049911499023 seconds
decode step time: 0.019498348236083984 seconds
decode step time: 0.019516706466674805 seconds
decode step time: 0.019508838653564453 seconds
decode step time: 0.019563913345336914 seconds
decode step time: 0.01959681510925293 seconds
decode step time: 0.01961064338684082 seconds
decode step time: 0.019600391387939453 seconds
decode step time: 0.019995689392089844 seconds
decode step time: 0.019616127014160156 seconds
decode step time: 0.01970076560974121 seconds
decode step time: 0.020222187042236328 seconds
decode step time: 0.020202159881591797 seconds
prefill step time: 0.36061644554138184 seconds
decode step time: 0.022341489791870117 seconds
decode step time: 0.021088361740112305 seconds
decode step time: 0.02057504653930664 seconds
decode step time: 0.020314693450927734 seconds
decode step time: 0.02017951011657715 seconds
decode step time: 0.020124435424804688 seconds
decode step time: 0.020064830780029297 seconds
decode step time: 0.020064353942871094 seconds
decode step time: 0.020040273666381836 seconds
decode step time: 0.0200345516204834 seconds
decode step time: 0.02002239227294922 seconds
decode step time: 0.0200655460357666 seconds
decode step time: 0.03295445442199707 seconds
decode step time: 0.020183086395263672 seconds
decode step time: 0.020047664642333984 seconds
decode step time: 0.020017147064208984 seconds
decode step time: 0.020036697387695312 seconds
decode step time: 0.019975900650024414 seconds
decode step time: 0.020016908645629883 seconds
decode step time: 0.02013254165649414 seconds
decode step time: 0.0201416015625 seconds
INFO 07-10 08:25:08 [metrics.py:481] Avg prompt throughput: 7350.7 tokens/s, Avg generation throughput: 92.9 tokens/s, Running: 9 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 23.4%, CPU KV cache usage: 0.0%.
decode step time: 0.020217418670654297 seconds
decode step time: 0.020223140716552734 seconds
decode step time: 0.020198345184326172 seconds
decode step time: 0.020192623138427734 seconds
decode step time: 0.2397909164428711 seconds
decode step time: 0.0203092098236084 seconds
decode step time: 0.02008843421936035 seconds
decode step time: 0.020126819610595703 seconds
decode step time: 0.020140647888183594 seconds
decode step time: 0.020341873168945312 seconds
decode step time: 0.020110368728637695 seconds
decode step time: 0.020130157470703125 seconds
decode step time: 0.020087718963623047 seconds
decode step time: 0.020058393478393555 seconds
decode step time: 0.02008819580078125 seconds
decode step time: 0.020137310028076172 seconds
decode step time: 0.020003795623779297 seconds
decode step time: 0.020042896270751953 seconds
decode step time: 0.020062923431396484 seconds
decode step time: 0.020094871520996094 seconds
decode step time: 0.02021002769470215 seconds
decode step time: 0.020178794860839844 seconds
decode step time: 0.020238876342773438 seconds
decode step time: 0.020219802856445312 seconds
decode step time: 0.020173311233520508 seconds
decode step time: 0.020232200622558594 seconds
decode step time: 0.020232677459716797 seconds
decode step time: 0.020149707794189453 seconds
decode step time: 0.02015209197998047 seconds
decode step time: 0.020144224166870117 seconds
decode step time: 0.020113229751586914 seconds
decode step time: 0.02007889747619629 seconds
decode step time: 0.020075082778930664 seconds
decode step time: 0.020069122314453125 seconds
decode step time: 0.020073413848876953 seconds
decode step time: 0.020021915435791016 seconds
decode step time: 0.020186662673950195 seconds
decode step time: 0.02036881446838379 seconds
decode step time: 0.020222902297973633 seconds
decode step time: 0.020253419876098633 seconds
decode step time: 0.020248889923095703 seconds
decode step time: 0.020192384719848633 seconds
decode step time: 0.020215511322021484 seconds
decode step time: 0.02019786834716797 seconds
decode step time: 0.02024388313293457 seconds
decode step time: 0.020190715789794922 seconds
decode step time: 0.02020120620727539 seconds
decode step time: 0.020220518112182617 seconds
decode step time: 0.02008223533630371 seconds
decode step time: 0.020076513290405273 seconds
decode step time: 0.020095348358154297 seconds
decode step time: 0.02004551887512207 seconds
decode step time: 0.02003312110900879 seconds
decode step time: 0.02004241943359375 seconds
decode step time: 0.02004265785217285 seconds
decode step time: 0.020082950592041016 seconds
decode step time: 0.020178794860839844 seconds
decode step time: 0.020224332809448242 seconds
decode step time: 0.020205974578857422 seconds
decode step time: 0.020170211791992188 seconds
decode step time: 0.020212888717651367 seconds
decode step time: 0.02020883560180664 seconds
decode step time: 0.020262479782104492 seconds
decode step time: 0.020944595336914062 seconds
decode step time: 0.020662546157836914 seconds
decode step time: 0.020159244537353516 seconds
decode step time: 0.0200960636138916 seconds
decode step time: 0.020058870315551758 seconds
decode step time: 0.020090818405151367 seconds
Tid 0 Request 0 finished.
  Time in queue before prefill: 2.8646 ms
  Prefill time (approx): 439.3954 ms
  TTFT: 442.2600 ms
  Latency: 6270.5817 ms
  Total generated tokens: 128
  Average TBT: 45.8923 ms/token
  Throughput (tokens/s): 21.79
decode step time: 0.019773483276367188 seconds
decode step time: 0.01956796646118164 seconds
decode step time: 0.019553422927856445 seconds
decode step time: 0.019536495208740234 seconds
Tid 0 Request 1 finished.
  Time in queue before prefill: 1.4727 ms
  Prefill time (approx): 356.1289 ms
  TTFT: 357.6016 ms
  Latency: 5842.8152 ms
  Total generated tokens: 128
  Average TBT: 43.1907 ms/token
  Throughput (tokens/s): 23.15
Tid 0 Request 2 finished.
  Time in queue before prefill: 1.6239 ms
  Prefill time (approx): 358.9995 ms
  TTFT: 360.6234 ms
  Latency: 5484.7207 ms
  Total generated tokens: 128
  Average TBT: 40.3472 ms/token
  Throughput (tokens/s): 24.78
Tid 0 Request 3 finished.
  Time in queue before prefill: 1.4851 ms
  Prefill time (approx): 361.1443 ms
  TTFT: 362.6294 ms
  Latency: 5123.5471 ms
  Total generated tokens: 128
  Average TBT: 37.4875 ms/token
  Throughput (tokens/s): 26.68
Tid 0 Request 4 finished.
  Time in queue before prefill: 1.4238 ms
  Prefill time (approx): 361.3603 ms
  TTFT: 362.7841 ms
  Latency: 4760.4039 ms
  Total generated tokens: 128
  Average TBT: 34.6269 ms/token
  Throughput (tokens/s): 28.88
Tid 0 Request 5 finished.
  Time in queue before prefill: 1.3466 ms
  Prefill time (approx): 359.9963 ms
  TTFT: 361.3429 ms
  Latency: 4397.1431 ms
  Total generated tokens: 128
  Average TBT: 31.7780 ms/token
  Throughput (tokens/s): 31.47
Tid 0 Request 6 finished.
  Time in queue before prefill: 1.4040 ms
  Prefill time (approx): 360.7969 ms
  TTFT: 362.2010 ms
  Latency: 4035.3026 ms
  Total generated tokens: 128
  Average TBT: 28.9221 ms/token
  Throughput (tokens/s): 34.58
Tid 0 Request 7 finished.
  Time in queue before prefill: 1.3261 ms
  Prefill time (approx): 361.2998 ms
  TTFT: 362.6258 ms
  Latency: 3672.6487 ms
  Total generated tokens: 128
  Average TBT: 26.0632 ms/token
  Throughput (tokens/s): 38.37
decode step time: 0.015868663787841797 seconds
decode step time: 0.01575779914855957 seconds
decode step time: 0.015715837478637695 seconds
decode step time: 0.015749692916870117 seconds
decode step time: 0.01574993133544922 seconds
decode step time: 0.0157318115234375 seconds
decode step time: 0.01573491096496582 seconds
decode step time: 0.015713930130004883 seconds
decode step time: 0.0157318115234375 seconds
decode step time: 0.015714645385742188 seconds
decode step time: 0.015738725662231445 seconds
decode step time: 0.015733718872070312 seconds
decode step time: 0.015763282775878906 seconds
decode step time: 0.01574397087097168 seconds
decode step time: 0.01572418212890625 seconds
decode step time: 0.015729427337646484 seconds
decode step time: 0.015722036361694336 seconds
decode step time: 0.015785932540893555 seconds
decode step time: 0.01580810546875 seconds
decode step time: 0.01577305793762207 seconds
decode step time: 0.0157620906829834 seconds
decode step time: 0.015785932540893555 seconds
