INFO 07-10 08:48:41 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 08:48:48 [config.py:583] This model supports multiple tasks: {'score', 'generate', 'classify', 'reward', 'embed'}. Defaulting to 'generate'.
INFO 07-10 08:48:48 [config.py:1693] Chunked prefill is enabled with max_num_batched_tokens=4352.
WARNING 07-10 08:48:48 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 08:48:48 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=4352, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=True, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 08:48:49 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 08:48:49 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 08:48:50 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 08:48:50 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 08:48:53 [loader.py:429] Loading weights took 2.92 seconds
INFO 07-10 08:48:53 [model_runner.py:1181] Model loading took 14.9596 GB and 3.063796 seconds
INFO 07-10 08:48:54 [worker.py:267] Memory profiling takes 0.78 seconds
INFO 07-10 08:48:54 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 08:48:54 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.08GiB; PyTorch activation peak memory takes 0.95GiB; the rest of the memory reserved for KV Cache is 19.55GiB.
INFO 07-10 08:48:54 [executor_base.py:111] # cuda blocks: 10009, # CPU blocks: 2048
INFO 07-10 08:48:54 [executor_base.py:116] Maximum concurrency for 4352 tokens per request: 36.80x
INFO 07-10 08:48:55 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 2.39 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  1.69982976   4.24882251   4.29833917   4.30401249   5.67986967
   9.75472076  11.43867814  13.32693153  20.36889648  35.51327918
  43.72934982  43.7325692   49.40530586  49.58655007  52.26005083
  54.3823834   62.25715503  63.14218014  63.90995799  67.64050652
  67.73301702  68.07134405  70.64683932  72.58320986  76.92740614
  77.96158135  79.08210826  83.71233914  88.02537317  88.83402135
  89.3609249   92.4191598   93.76497031  95.90168304  98.52348857
 101.60391518 108.92433846 109.30856036 112.97307265 115.78366647
 120.52879252 122.02627245 123.19798411 125.2407524  125.9019256
 127.76648182 128.03163696 132.14900545 137.84710087 139.22735705
 147.13418443 147.40344101 148.10229799 148.8454197  150.75431204
 153.09367519 154.43353222 154.7449173  159.73989569 160.98355548
 161.26748027 163.19557134 163.93682044 164.97662576 165.60630295
 166.89421897 169.38848062 169.63054354 172.58686712 179.78712402], input_len: 4096.0, output_len: 256.0
prefill step time: 0.43067193031311035 seconds
decode step time: 0.01986980438232422 seconds
decode step time: 0.016563892364501953 seconds
decode step time: 0.016139507293701172 seconds
decode step time: 0.015954971313476562 seconds
decode step time: 0.01586294174194336 seconds
decode step time: 0.015937089920043945 seconds
decode step time: 0.01578664779663086 seconds
decode step time: 0.015708208084106445 seconds
decode step time: 0.01574563980102539 seconds
decode step time: 0.015714406967163086 seconds
decode step time: 0.015724658966064453 seconds
decode step time: 0.01573634147644043 seconds
decode step time: 0.015735626220703125 seconds
decode step time: 0.01569342613220215 seconds
decode step time: 0.015694856643676758 seconds
decode step time: 0.015673398971557617 seconds
decode step time: 0.01568293571472168 seconds
decode step time: 0.01568317413330078 seconds
decode step time: 0.015688180923461914 seconds
decode step time: 0.015686750411987305 seconds
decode step time: 0.015704870223999023 seconds
decode step time: 0.01571059226989746 seconds
decode step time: 0.015691757202148438 seconds
decode step time: 0.015686511993408203 seconds
decode step time: 0.015665292739868164 seconds
decode step time: 0.0156857967376709 seconds
decode step time: 0.015669822692871094 seconds
decode step time: 0.015689611434936523 seconds
decode step time: 0.01568913459777832 seconds
decode step time: 0.01568460464477539 seconds
decode step time: 0.015673398971557617 seconds
decode step time: 0.01567220687866211 seconds
decode step time: 0.01568770408630371 seconds
decode step time: 0.01567697525024414 seconds
decode step time: 0.015665769577026367 seconds
decode step time: 0.01567673683166504 seconds
decode step time: 0.0156710147857666 seconds
decode step time: 0.015654802322387695 seconds
decode step time: 0.015677690505981445 seconds
decode step time: 0.01567554473876953 seconds
decode step time: 0.015690088272094727 seconds
decode step time: 0.015690088272094727 seconds
decode step time: 0.01566934585571289 seconds
decode step time: 0.01568293571472168 seconds
decode step time: 0.015671730041503906 seconds
decode step time: 0.015646696090698242 seconds
decode step time: 0.01566791534423828 seconds
decode step time: 0.015672683715820312 seconds
decode step time: 0.015700340270996094 seconds
decode step time: 0.015694618225097656 seconds
decode step time: 0.015676259994506836 seconds
decode step time: 0.015685558319091797 seconds
decode step time: 0.01568007469177246 seconds
decode step time: 0.015680313110351562 seconds
decode step time: 0.015669584274291992 seconds
decode step time: 0.01567983627319336 seconds
decode step time: 0.015688657760620117 seconds
decode step time: 0.015715837478637695 seconds
decode step time: 0.015692710876464844 seconds
decode step time: 0.015671730041503906 seconds
decode step time: 0.01569533348083496 seconds
decode step time: 0.01568436622619629 seconds
decode step time: 0.015683412551879883 seconds
