INFO 07-10 08:45:20 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 08:45:27 [config.py:583] This model supports multiple tasks: {'score', 'reward', 'classify', 'generate', 'embed'}. Defaulting to 'generate'.
WARNING 07-10 08:45:27 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 08:45:27 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=4352, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 08:45:29 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 08:45:29 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 08:45:29 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 08:45:29 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 08:45:32 [loader.py:429] Loading weights took 3.15 seconds
INFO 07-10 08:45:32 [model_runner.py:1181] Model loading took 14.9596 GB and 3.289116 seconds
INFO 07-10 08:45:33 [worker.py:267] Memory profiling takes 0.75 seconds
INFO 07-10 08:45:33 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 08:45:33 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.08GiB; PyTorch activation peak memory takes 0.95GiB; the rest of the memory reserved for KV Cache is 19.55GiB.
INFO 07-10 08:45:33 [executor_base.py:111] # cuda blocks: 10009, # CPU blocks: 2048
INFO 07-10 08:45:33 [executor_base.py:116] Maximum concurrency for 4352 tokens per request: 36.80x
INFO 07-10 08:45:35 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 2.39 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  1.69982976   4.24882251   4.29833917   4.30401249   5.67986967
   9.75472076  11.43867814  13.32693153  20.36889648  35.51327918
  43.72934982  43.7325692   49.40530586  49.58655007  52.26005083
  54.3823834   62.25715503  63.14218014  63.90995799  67.64050652
  67.73301702  68.07134405  70.64683932  72.58320986  76.92740614
  77.96158135  79.08210826  83.71233914  88.02537317  88.83402135
  89.3609249   92.4191598   93.76497031  95.90168304  98.52348857
 101.60391518 108.92433846 109.30856036 112.97307265 115.78366647
 120.52879252 122.02627245 123.19798411 125.2407524  125.9019256
 127.76648182 128.03163696 132.14900545 137.84710087 139.22735705
 147.13418443 147.40344101 148.10229799 148.8454197  150.75431204
 153.09367519 154.43353222 154.7449173  159.73989569 160.98355548
 161.26748027 163.19557134 163.93682044 164.97662576 165.60630295
 166.89421897 169.38848062 169.63054354 172.58686712 179.78712402], input_len: 4096.0, output_len: 256.0
prefill step time: 0.4255557060241699 seconds
decode step time: 0.02066349983215332 seconds
decode step time: 0.01662158966064453 seconds
decode step time: 0.016144514083862305 seconds
decode step time: 0.01596379280090332 seconds
decode step time: 0.01633763313293457 seconds
decode step time: 0.02359914779663086 seconds
decode step time: 0.01844334602355957 seconds
decode step time: 0.015950679779052734 seconds
decode step time: 0.017822742462158203 seconds
decode step time: 0.021382570266723633 seconds
decode step time: 0.019409894943237305 seconds
decode step time: 0.01996326446533203 seconds
decode step time: 0.016806840896606445 seconds
decode step time: 0.019213199615478516 seconds
decode step time: 0.0174710750579834 seconds
decode step time: 0.017320871353149414 seconds
decode step time: 0.015909671783447266 seconds
decode step time: 0.015810251235961914 seconds
decode step time: 0.015721797943115234 seconds
decode step time: 0.015702009201049805 seconds
decode step time: 0.01569986343383789 seconds
decode step time: 0.01570582389831543 seconds
decode step time: 0.015700578689575195 seconds
decode step time: 0.015795230865478516 seconds
decode step time: 0.015772342681884766 seconds
decode step time: 0.01573634147644043 seconds
decode step time: 0.015706777572631836 seconds
decode step time: 0.015697717666625977 seconds
decode step time: 0.015704631805419922 seconds
decode step time: 0.01568150520324707 seconds
decode step time: 0.015699148178100586 seconds
decode step time: 0.01567864418029785 seconds
decode step time: 0.01567983627319336 seconds
decode step time: 0.015715837478637695 seconds
decode step time: 0.01578545570373535 seconds
decode step time: 0.01570892333984375 seconds
decode step time: 0.015697717666625977 seconds
decode step time: 0.015681743621826172 seconds
decode step time: 0.0157167911529541 seconds
decode step time: 0.01567387580871582 seconds
decode step time: 0.015669822692871094 seconds
decode step time: 0.01568889617919922 seconds
decode step time: 0.01566481590270996 seconds
decode step time: 0.015691757202148438 seconds
decode step time: 0.015678882598876953 seconds
decode step time: 0.01581096649169922 seconds
decode step time: 0.016258955001831055 seconds
decode step time: 0.015672922134399414 seconds
decode step time: 0.015676021575927734 seconds
decode step time: 0.015745878219604492 seconds
decode step time: 0.015710830688476562 seconds
decode step time: 0.015691757202148438 seconds
decode step time: 0.01571822166442871 seconds
decode step time: 0.015720605850219727 seconds
decode step time: 0.01577138900756836 seconds
decode step time: 0.015694618225097656 seconds
decode step time: 0.015752315521240234 seconds
decode step time: 0.01585221290588379 seconds
decode step time: 0.015732765197753906 seconds
decode step time: 0.015766620635986328 seconds
