INFO 07-10 09:34:30 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 09:34:37 [config.py:583] This model supports multiple tasks: {'reward', 'generate', 'embed', 'score', 'classify'}. Defaulting to 'generate'.
WARNING 07-10 09:34:37 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 09:34:37 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=4352, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 09:34:39 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 09:34:39 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 09:34:39 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 09:34:39 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 09:34:43 [loader.py:429] Loading weights took 3.31 seconds
INFO 07-10 09:34:43 [model_runner.py:1181] Model loading took 14.9596 GB and 3.461173 seconds
INFO 07-10 09:34:44 [worker.py:267] Memory profiling takes 0.76 seconds
INFO 07-10 09:34:44 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 09:34:44 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.08GiB; PyTorch activation peak memory takes 0.95GiB; the rest of the memory reserved for KV Cache is 19.55GiB.
INFO 07-10 09:34:44 [executor_base.py:111] # cuda blocks: 10009, # CPU blocks: 2048
INFO 07-10 09:34:44 [executor_base.py:116] Maximum concurrency for 4352 tokens per request: 36.80x
INFO 07-10 09:34:46 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 2.68 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 4096.0, output_len: 256.0
prefill step time: 0.4250962734222412 seconds
decode step time: 0.019728899002075195 seconds
decode step time: 0.0165708065032959 seconds
decode step time: 0.016251564025878906 seconds
decode step time: 0.016019582748413086 seconds
decode step time: 0.0158841609954834 seconds
prefill step time: 0.3530251979827881 seconds
prefill step time: 0.35843753814697266 seconds
prefill step time: 0.36362266540527344 seconds
prefill step time: 0.35904383659362793 seconds
prefill step time: 0.35881590843200684 seconds
prefill step time: 0.3627743721008301 seconds
prefill step time: 0.35990047454833984 seconds
decode step time: 0.020986080169677734 seconds
decode step time: 0.020293474197387695 seconds
decode step time: 0.01992201805114746 seconds
decode step time: 0.0197293758392334 seconds
decode step time: 0.019608736038208008 seconds
decode step time: 0.020038127899169922 seconds
decode step time: 0.019528627395629883 seconds
decode step time: 0.01952385902404785 seconds
decode step time: 0.019502878189086914 seconds
decode step time: 0.019466400146484375 seconds
decode step time: 0.019467592239379883 seconds
decode step time: 0.019472837448120117 seconds
decode step time: 0.019455909729003906 seconds
decode step time: 0.019426822662353516 seconds
decode step time: 0.019446849822998047 seconds
decode step time: 0.019423961639404297 seconds
decode step time: 0.019420146942138672 seconds
decode step time: 0.01942586898803711 seconds
decode step time: 0.01940774917602539 seconds
decode step time: 0.019481897354125977 seconds
decode step time: 0.01944589614868164 seconds
decode step time: 0.019435405731201172 seconds
decode step time: 0.019400835037231445 seconds
decode step time: 0.019431591033935547 seconds
decode step time: 0.01945638656616211 seconds
decode step time: 0.019410371780395508 seconds
decode step time: 0.019428730010986328 seconds
decode step time: 0.01943492889404297 seconds
decode step time: 0.019431591033935547 seconds
decode step time: 0.01946544647216797 seconds
decode step time: 0.019452333450317383 seconds
decode step time: 0.019484519958496094 seconds
decode step time: 0.01953125 seconds
decode step time: 0.019557714462280273 seconds
prefill step time: 0.35878920555114746 seconds
decode step time: 0.02149367332458496 seconds
decode step time: 0.020747900009155273 seconds
decode step time: 0.020434141159057617 seconds
decode step time: 0.02033066749572754 seconds
decode step time: 0.020253419876098633 seconds
decode step time: 0.020255565643310547 seconds
decode step time: 0.02020263671875 seconds
decode step time: 0.020186424255371094 seconds
decode step time: 0.020155668258666992 seconds
decode step time: 0.020179271697998047 seconds
decode step time: 0.02017354965209961 seconds
decode step time: 0.020125150680541992 seconds
decode step time: 0.031109333038330078 seconds
decode step time: 0.020333290100097656 seconds
decode step time: 0.020144224166870117 seconds
decode step time: 0.0201416015625 seconds
decode step time: 0.020104169845581055 seconds
decode step time: 0.02015519142150879 seconds
decode step time: 0.020153045654296875 seconds
INFO 07-10 09:34:51 [metrics.py:481] Avg prompt throughput: 7357.8 tokens/s, Avg generation throughput: 91.2 tokens/s, Running: 9 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 23.4%, CPU KV cache usage: 0.0%.
decode step time: 0.020216941833496094 seconds
decode step time: 0.02011585235595703 seconds
decode step time: 0.020146608352661133 seconds
decode step time: 0.020070791244506836 seconds
decode step time: 0.020189523696899414 seconds
decode step time: 0.0202634334564209 seconds
decode step time: 0.26453733444213867 seconds
decode step time: 0.020426034927368164 seconds
decode step time: 0.020287275314331055 seconds
decode step time: 0.02016425132751465 seconds
decode step time: 0.020143747329711914 seconds
decode step time: 0.020122289657592773 seconds
decode step time: 0.020127296447753906 seconds
decode step time: 0.020111083984375 seconds
decode step time: 0.020145893096923828 seconds
decode step time: 0.020123720169067383 seconds
decode step time: 0.02013874053955078 seconds
decode step time: 0.02015233039855957 seconds
decode step time: 0.020136594772338867 seconds
decode step time: 0.020064592361450195 seconds
decode step time: 0.02005934715270996 seconds
decode step time: 0.019989490509033203 seconds
decode step time: 0.020027637481689453 seconds
decode step time: 0.02002573013305664 seconds
decode step time: 0.020030975341796875 seconds
decode step time: 0.019962072372436523 seconds
decode step time: 0.020007848739624023 seconds
decode step time: 0.020154237747192383 seconds
decode step time: 0.020207881927490234 seconds
decode step time: 0.020158767700195312 seconds
decode step time: 0.0202333927154541 seconds
decode step time: 0.020241498947143555 seconds
decode step time: 0.02021336555480957 seconds
decode step time: 0.020160436630249023 seconds
decode step time: 0.02020740509033203 seconds
decode step time: 0.020128726959228516 seconds
decode step time: 0.020144939422607422 seconds
decode step time: 0.020157575607299805 seconds
decode step time: 0.020100116729736328 seconds
decode step time: 0.020077228546142578 seconds
decode step time: 0.020049095153808594 seconds
decode step time: 0.02004241943359375 seconds
decode step time: 0.020045042037963867 seconds
decode step time: 0.020008325576782227 seconds
decode step time: 0.019996166229248047 seconds
decode step time: 0.019971132278442383 seconds
decode step time: 0.02002573013305664 seconds
decode step time: 0.02005767822265625 seconds
decode step time: 0.02018570899963379 seconds
decode step time: 0.0201876163482666 seconds
decode step time: 0.020189523696899414 seconds
decode step time: 0.020191669464111328 seconds
decode step time: 0.020196199417114258 seconds
decode step time: 0.020166635513305664 seconds
decode step time: 0.020200014114379883 seconds
decode step time: 0.02016901969909668 seconds
decode step time: 0.020171642303466797 seconds
decode step time: 0.020114421844482422 seconds
decode step time: 0.02009725570678711 seconds
decode step time: 0.020101308822631836 seconds
decode step time: 0.020069360733032227 seconds
decode step time: 0.020056724548339844 seconds
decode step time: 0.020048141479492188 seconds
decode step time: 0.020055532455444336 seconds
decode step time: 0.020032167434692383 seconds
decode step time: 0.019969701766967773 seconds
decode step time: 0.01998758316040039 seconds
decode step time: 0.020119905471801758 seconds
decode step time: 0.020189762115478516 seconds
decode step time: 0.020224571228027344 seconds
decode step time: 0.02025437355041504 seconds
decode step time: 0.020292043685913086 seconds
decode step time: 0.02027606964111328 seconds
decode step time: 0.02021479606628418 seconds
decode step time: 0.020225048065185547 seconds
decode step time: 0.020176172256469727 seconds
decode step time: 0.020156145095825195 seconds
decode step time: 0.02014636993408203 seconds
decode step time: 0.020136594772338867 seconds
decode step time: 0.02014470100402832 seconds
decode step time: 0.020125150680541992 seconds
decode step time: 0.02077937126159668 seconds
decode step time: 0.020244598388671875 seconds
decode step time: 0.020088672637939453 seconds
decode step time: 0.020060300827026367 seconds
decode step time: 0.020115137100219727 seconds
decode step time: 0.020241975784301758 seconds
decode step time: 0.020228862762451172 seconds
decode step time: 0.020281314849853516 seconds
decode step time: 0.020217418670654297 seconds
decode step time: 0.0202329158782959 seconds
decode step time: 0.0202181339263916 seconds
decode step time: 0.020257234573364258 seconds
decode step time: 0.02022528648376465 seconds
prefill step time: 0.35926365852355957 seconds
decode step time: 0.02209019660949707 seconds
decode step time: 0.021618366241455078 seconds
decode step time: 0.021091938018798828 seconds
decode step time: 0.02089834213256836 seconds
decode step time: 0.020738601684570312 seconds
decode step time: 0.020631790161132812 seconds
decode step time: 0.020629405975341797 seconds
decode step time: 0.020756244659423828 seconds
decode step time: 0.02076268196105957 seconds
decode step time: 0.020870208740234375 seconds
decode step time: 0.02074909210205078 seconds
decode step time: 0.02086782455444336 seconds
decode step time: 0.020720958709716797 seconds
decode step time: 0.020728111267089844 seconds
decode step time: 0.020660877227783203 seconds
decode step time: 0.020613670349121094 seconds
decode step time: 0.020601749420166016 seconds
decode step time: 0.02061176300048828 seconds
decode step time: 0.02063751220703125 seconds
decode step time: 0.02075982093811035 seconds
decode step time: 0.020726442337036133 seconds
decode step time: 0.020771265029907227 seconds
decode step time: 0.020772695541381836 seconds
decode step time: 0.020806312561035156 seconds
decode step time: 0.02078413963317871 seconds
decode step time: 0.02075815200805664 seconds
decode step time: 0.020679235458374023 seconds
decode step time: 0.020631074905395508 seconds
decode step time: 0.020638704299926758 seconds
decode step time: 0.020613431930541992 seconds
decode step time: 0.020621776580810547 seconds
decode step time: 0.020841121673583984 seconds
decode step time: 0.020776987075805664 seconds
decode step time: 0.0207669734954834 seconds
decode step time: 0.020769596099853516 seconds
decode step time: 0.020769357681274414 seconds
decode step time: 0.02076554298400879 seconds
decode step time: 0.020771026611328125 seconds
decode step time: 0.020699739456176758 seconds
decode step time: 0.020687341690063477 seconds
decode step time: 0.020666837692260742 seconds
decode step time: 0.020617008209228516 seconds
decode step time: 0.020604848861694336 seconds
decode step time: 0.02064228057861328 seconds
decode step time: 0.02080535888671875 seconds
decode step time: 0.020775318145751953 seconds
decode step time: 0.02079176902770996 seconds
decode step time: 0.020783185958862305 seconds
decode step time: 0.020787715911865234 seconds
decode step time: 0.02082371711730957 seconds
decode step time: 0.020733118057250977 seconds
decode step time: 0.02075958251953125 seconds
decode step time: 0.020641565322875977 seconds
decode step time: 0.020647287368774414 seconds
decode step time: 0.020647764205932617 seconds
