INFO 07-10 09:37:51 [__init__.py:256] Automatically detected platform cuda.
INFO 07-10 09:37:58 [config.py:583] This model supports multiple tasks: {'embed', 'score', 'generate', 'reward', 'classify'}. Defaulting to 'generate'.
WARNING 07-10 09:37:58 [cuda.py:96] To see benefits of async output processing, enable CUDA graph. Since, enforce-eager is enabled, async output processor cannot be used
INFO 07-10 09:37:58 [llm_engine.py:260] Initializing a V0 LLM engine (v0.1.dev24+g232ce74.d20251027) with config: model='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', speculative_config=None, tokenizer='/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=4352, download_dir=None, load_format=auto, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=True, kv_cache_dtype=auto,  device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='xgrammar', reasoning_backend=None), observability_config=ObservabilityConfig(show_hidden_metrics=False, otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=None, served_model_name=/huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2, num_scheduler_steps=1, multi_step_stream_outputs=True, enable_prefix_caching=None, chunked_prefill_enabled=False, use_async_output_proc=False, disable_mm_preprocessor_cache=False, mm_processor_kwargs=None, pooler_config=None, compilation_config={"splitting_ops":[],"compile_sizes":[],"cudagraph_capture_sizes":[],"max_capture_size":0}, use_cached_outputs=False, 
INFO 07-10 09:38:00 [cuda.py:220] Using FlashInfer backend.
INFO 07-10 09:38:00 [importing.py:16] Triton not installed or not compatible; certain GPU-related functions will not be available.
INFO 07-10 09:38:00 [parallel_state.py:967] rank 0 in world size 1 is assigned as DP rank 0, PP rank 0, TP rank 0
INFO 07-10 09:38:00 [model_runner.py:1145] Starting to load model /huggingface-cache/hub/models--meta-llama--Meta-Llama-3-8B-Instruct/snapshots/8afb486c1db24fe5011ec46dfbe5b5dccdb575c2...
INFO 07-10 09:38:03 [loader.py:429] Loading weights took 2.94 seconds
INFO 07-10 09:38:03 [model_runner.py:1181] Model loading took 14.9596 GB and 3.087518 seconds
INFO 07-10 09:38:06 [worker.py:267] Memory profiling takes 2.28 seconds
INFO 07-10 09:38:06 [worker.py:267] the current vLLM instance can use total_gpu_memory (39.49GiB) x gpu_memory_utilization (0.90) = 35.54GiB
INFO 07-10 09:38:06 [worker.py:267] model weights take 14.96GiB; non_torch_memory takes 0.18GiB; PyTorch activation peak memory takes 0.95GiB; the rest of the memory reserved for KV Cache is 19.46GiB.
INFO 07-10 09:38:06 [executor_base.py:111] # cuda blocks: 9961, # CPU blocks: 2048
INFO 07-10 09:38:06 [executor_base.py:116] Maximum concurrency for 4352 tokens per request: 36.62x
INFO 07-10 09:38:08 [llm_engine.py:471] init engine (profile, create kv cache, warmup model) took 4.19 seconds
use_async_output_proc: False
process in thread 0 started.
[internal] Tid: 0, Request timestamps: [  0.33996595   0.8497645    0.85966783   0.8608025    1.13597393
   1.95094415   2.28773563   2.66538631   4.0737793    7.10265584
   8.74586996   8.74651384   9.88106117   9.91731001  10.45201017
  10.87647668  12.45143101  12.62843603  12.7819916   13.5281013
  13.5466034   13.61426881  14.12936786  14.51664197  15.38548123
  15.59231627  15.81642165  16.74246783  17.60507463  17.76680427
  17.87218498  18.48383196  18.75299406  19.18033661  19.70469771
  20.32078304  21.78486769  21.86171207  22.59461453  23.15673329
  24.1057585   24.40525449  24.63959682  25.04815048  25.18038512
  25.55329636  25.60632739  26.42980109  27.56942017  27.84547141
  29.42683689  29.4806882   29.6204596   29.76908394  30.15086241
  30.61873504  30.88670644  30.94898346  31.94797914  32.1967111
  32.25349605  32.63911427  32.78736409  32.99532515  33.12126059
  33.37884379  33.87769612  33.92610871  34.51737342  35.9574248
  36.38979649  38.23856034  38.49200892  39.13493281  40.14434487
  40.56734073  40.93937311  41.23973432  41.27607292  43.50236496
  44.33752508  44.59849115  45.47600734  45.98346256  45.98948724
  46.67464911  47.38148568  47.63405878  47.64072881  49.00703048
  50.05067253  51.95293923  51.97583646  53.42083596  54.74298107
  56.33567972  57.42998909  57.60298582  58.77394248  59.0321156
  59.3367605   60.0555842   60.47474985  60.90698524  60.95893424
  61.31442801  63.20183321  63.24670797  64.0229604   64.03089746
  64.8858032   65.19263478  65.71844919  65.79580137  66.2946708
  66.39374973  66.69891704  67.14345453  67.37120372  67.46378607
  67.78431246  67.93692982  67.98395794  69.23778118  70.02581182
  70.41906774  71.44937881  71.69455197  71.83770211  72.05365999
  73.46750917  73.68658673  74.58797192  75.14649246  75.30433691
  75.58325034  75.74723265  75.89215376  76.52934628  77.3599173
  77.36537943  78.4804081   78.94548514  80.0522669   80.07318797
  80.76299214  80.80833987  81.27152151  82.4623704   82.96509804
  84.7703681   84.90724154  86.87882236  86.9600686   88.07994215
  88.43352531  88.83268867  89.17849508  89.49671833  90.91512354
  91.51557416  91.77450379  91.9214005   91.97022288  93.24449396
  94.55401094  94.89620003  95.37700046  96.35447477  97.23689735
  97.68707148  97.87985589  98.22864851  99.45124186 100.28773114
 100.38588147 100.66435872 102.70342801 102.99105828 103.61525505
 103.9507436  104.25127385 104.49148202 104.80013465 105.95815688
 106.51916528 106.53157742 107.10228265 107.68767066 108.13724037
 108.76430589 109.12296403 109.75503543 109.97510036 110.16726423
 110.92185509 111.76859538 111.87689872 112.44500754 112.91878715
 113.27099039 113.86829886 114.07202928 114.54626925 114.69050226
 114.72312254 115.2649013  115.42200874 115.96315914 117.67889457
 118.55817522 118.64070416 118.69040977 118.77397037 119.68474263
 120.38946148 120.77979396 120.85133397 120.99603303 121.0999937
 121.2718139  121.52492154 121.93928905 122.24179819 122.43671736
 122.83758245 123.09651633 123.60661748 123.8885461  125.03726072
 125.1212148  125.90162938 128.25718418 128.65611613 129.69935322
 130.62725229 132.04704497 132.99786624 133.0192033  133.8818216
 134.28205708 134.6308591  135.65777862 136.69372671 136.8273513
 137.09090848 138.46910297 138.95604261 139.06874024 142.53297251
 142.60921279 142.83790391 143.01826333 143.40562682 143.63244249
 143.9236021  143.92384578 143.97494937 145.56562697 145.66987381
 146.57237495 148.35188749 148.98245789 150.24703961 150.7784346
 151.50779217 152.6145106  153.55500872 154.23270253 154.97326127
 155.54327814 156.87280938 157.21726799 157.31671778 157.8837321
 158.97531782 159.0361087  159.37288021 159.55107315 159.88630061
 160.05046773 160.73354935 161.4407439  161.52994135 162.38224505
 163.02985345 164.01603881 165.61630226 165.78992414 165.82478847
 166.12065416 166.98867181 167.48291939 168.40258124 168.50572432
 172.57010148 172.59494473 172.98230576 173.49962473 173.78414782
 174.42384909 174.64865691 174.85590099 175.64356427 176.36174759
 176.61515591 176.7005256  177.1553444  177.53926065 177.81421007
 178.14912829 178.2592731  178.50875234 179.54032349 179.5464374
 179.60448298 179.69842198], input_len: 4096.0, output_len: 256.0
prefill step time: 0.5026242733001709 seconds
decode step time: 0.022754430770874023 seconds
decode step time: 0.028048276901245117 seconds
decode step time: 0.030097246170043945 seconds
decode step time: 0.031430721282958984 seconds
decode step time: 0.031865596771240234 seconds
decode step time: 0.032181739807128906 seconds
decode step time: 0.031122446060180664 seconds
decode step time: 0.03129887580871582 seconds
decode step time: 0.030948638916015625 seconds
decode step time: 0.030767440795898438 seconds
decode step time: 0.031042814254760742 seconds
decode step time: 0.030833959579467773 seconds
decode step time: 0.031049013137817383 seconds
decode step time: 0.03104400634765625 seconds
decode step time: 0.031119108200073242 seconds
decode step time: 0.03142738342285156 seconds
prefill step time: 0.5154216289520264 seconds
decode step time: 0.03037428855895996 seconds
decode step time: 0.0338749885559082 seconds
decode step time: 0.03348803520202637 seconds
decode step time: 0.03305459022521973 seconds
decode step time: 0.032912254333496094 seconds
decode step time: 0.032915353775024414 seconds
decode step time: 0.03266191482543945 seconds
decode step time: 0.03316807746887207 seconds
decode step time: 0.03384256362915039 seconds
decode step time: 0.03328394889831543 seconds
decode step time: 0.0332331657409668 seconds
decode step time: 0.034523963928222656 seconds
decode step time: 0.035219430923461914 seconds
decode step time: 0.0334165096282959 seconds
decode step time: 0.03299379348754883 seconds
decode step time: 0.0329442024230957 seconds
prefill step time: 0.5291714668273926 seconds
decode step time: 0.0318758487701416 seconds
decode step time: 0.03371715545654297 seconds
decode step time: 0.031777381896972656 seconds
decode step time: 0.03440976142883301 seconds
decode step time: 0.034735679626464844 seconds
decode step time: 0.0347745418548584 seconds
decode step time: 0.03415250778198242 seconds
decode step time: 0.03506660461425781 seconds
decode step time: 0.03436112403869629 seconds
prefill step time: 0.49175286293029785 seconds
decode step time: 0.035128116607666016 seconds
decode step time: 0.03483867645263672 seconds
decode step time: 0.035924434661865234 seconds
decode step time: 0.03566241264343262 seconds
decode step time: 0.035735368728637695 seconds
decode step time: 0.035639286041259766 seconds
decode step time: 0.03532814979553223 seconds
decode step time: 0.03532266616821289 seconds
decode step time: 0.035758256912231445 seconds
decode step time: 0.03591585159301758 seconds
decode step time: 0.03528428077697754 seconds
decode step time: 0.0359654426574707 seconds
decode step time: 0.03583550453186035 seconds
decode step time: 0.03639578819274902 seconds
prefill step time: 0.5227155685424805 seconds
decode step time: 0.0354769229888916 seconds
decode step time: 0.03789258003234863 seconds
decode step time: 0.038930416107177734 seconds
decode step time: 0.037873029708862305 seconds
decode step time: 0.037749528884887695 seconds
decode step time: 0.0372769832611084 seconds
decode step time: 0.03700590133666992 seconds
decode step time: 0.036948442459106445 seconds
decode step time: 0.03674006462097168 seconds
decode step time: 0.03632521629333496 seconds
decode step time: 0.03651237487792969 seconds
decode step time: 0.03697037696838379 seconds
decode step time: 0.03736233711242676 seconds
decode step time: 0.03707003593444824 seconds
prefill step time: 0.5272438526153564 seconds
decode step time: 0.035376548767089844 seconds
decode step time: 0.038103342056274414 seconds
decode step time: 0.038332223892211914 seconds
decode step time: 0.037918806076049805 seconds
decode step time: 0.03867530822753906 seconds
decode step time: 0.03767228126525879 seconds
decode step time: 0.039067983627319336 seconds
decode step time: 0.03840160369873047 seconds
decode step time: 0.03902077674865723 seconds
decode step time: 0.038626670837402344 seconds
decode step time: 0.03836250305175781 seconds
decode step time: 0.03842973709106445 seconds
decode step time: 0.03967642784118652 seconds
prefill step time: 0.5240881443023682 seconds
decode step time: 0.038102149963378906 seconds
decode step time: 0.04040718078613281 seconds
decode step time: 0.039473772048950195 seconds
decode step time: 0.03952741622924805 seconds
decode step time: 0.04048347473144531 seconds
decode step time: 0.0399479866027832 seconds
decode step time: 0.03980827331542969 seconds
decode step time: 0.039600372314453125 seconds
decode step time: 0.039867401123046875 seconds
decode step time: 0.039917945861816406 seconds
decode step time: 0.039911746978759766 seconds
decode step time: 0.039296627044677734 seconds
decode step time: 0.039600372314453125 seconds
prefill step time: 0.5249810218811035 seconds
decode step time: 0.038115501403808594 seconds
decode step time: 0.04048418998718262 seconds
decode step time: 0.0413665771484375 seconds
decode step time: 0.04154849052429199 seconds
decode step time: 0.04065394401550293 seconds
decode step time: 0.04069828987121582 seconds
decode step time: 0.04055643081665039 seconds
decode step time: 0.041487693786621094 seconds
decode step time: 0.04227423667907715 seconds
INFO 07-10 09:38:13 [metrics.py:481] Avg prompt throughput: 6551.0 tokens/s, Avg generation throughput: 88.6 tokens/s, Running: 8 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 23.4%, CPU KV cache usage: 0.0%.
decode step time: 0.041806697845458984 seconds
decode step time: 0.041632890701293945 seconds
decode step time: 0.041014909744262695 seconds
prefill step time: 0.5232610702514648 seconds
decode step time: 0.04031777381896973 seconds
decode step time: 0.025260210037231445 seconds
decode step time: 0.023286819458007812 seconds
decode step time: 0.022662878036499023 seconds
decode step time: 0.02219080924987793 seconds
decode step time: 0.022059202194213867 seconds
decode step time: 0.021904468536376953 seconds
decode step time: 0.02179408073425293 seconds
decode step time: 0.021808624267578125 seconds
decode step time: 0.021702289581298828 seconds
decode step time: 0.021973371505737305 seconds
decode step time: 0.022025346755981445 seconds
decode step time: 0.02207493782043457 seconds
decode step time: 0.021915674209594727 seconds
decode step time: 0.02181243896484375 seconds
decode step time: 0.021880388259887695 seconds
decode step time: 0.02176833152770996 seconds
decode step time: 0.021869897842407227 seconds
decode step time: 0.021957874298095703 seconds
decode step time: 0.02202773094177246 seconds
decode step time: 0.022173643112182617 seconds
decode step time: 0.022103548049926758 seconds
decode step time: 0.021882057189941406 seconds
decode step time: 0.0219118595123291 seconds
decode step time: 0.02194380760192871 seconds
decode step time: 0.02193164825439453 seconds
decode step time: 0.02234363555908203 seconds
decode step time: 0.022042512893676758 seconds
decode step time: 0.02184891700744629 seconds
decode step time: 0.02189803123474121 seconds
decode step time: 0.02187967300415039 seconds
decode step time: 0.022083044052124023 seconds
decode step time: 0.022029876708984375 seconds
decode step time: 0.022091388702392578 seconds
decode step time: 0.021840333938598633 seconds
decode step time: 0.021925687789916992 seconds
decode step time: 0.021851062774658203 seconds
decode step time: 0.021957874298095703 seconds
decode step time: 0.02203202247619629 seconds
decode step time: 0.021907329559326172 seconds
decode step time: 0.021970510482788086 seconds
decode step time: 0.02189016342163086 seconds
decode step time: 0.021796226501464844 seconds
decode step time: 0.021926164627075195 seconds
decode step time: 0.021924972534179688 seconds
decode step time: 0.022165775299072266 seconds
decode step time: 0.022107362747192383 seconds
decode step time: 0.022090911865234375 seconds
decode step time: 0.021962881088256836 seconds
decode step time: 0.021897315979003906 seconds
decode step time: 0.02177119255065918 seconds
decode step time: 0.021871566772460938 seconds
decode step time: 0.022032499313354492 seconds
decode step time: 0.02207636833190918 seconds
decode step time: 0.022098064422607422 seconds
decode step time: 0.021947383880615234 seconds
decode step time: 0.02181696891784668 seconds
decode step time: 0.021851301193237305 seconds
decode step time: 0.02180314064025879 seconds
decode step time: 0.022223711013793945 seconds
decode step time: 0.022182941436767578 seconds
decode step time: 0.0222012996673584 seconds
decode step time: 0.02208423614501953 seconds
decode step time: 0.021884441375732422 seconds
decode step time: 0.0217592716217041 seconds
decode step time: 0.02181839942932129 seconds
decode step time: 0.0220029354095459 seconds
decode step time: 0.022104740142822266 seconds
decode step time: 0.02198505401611328 seconds
decode step time: 0.022090911865234375 seconds
decode step time: 0.021931886672973633 seconds
decode step time: 0.022086381912231445 seconds
decode step time: 0.022042512893676758 seconds
decode step time: 0.022109031677246094 seconds
decode step time: 0.022114276885986328 seconds
decode step time: 0.021922588348388672 seconds
decode step time: 0.02196192741394043 seconds
decode step time: 0.022014617919921875 seconds
decode step time: 0.021923065185546875 seconds
decode step time: 0.022172927856445312 seconds
decode step time: 0.022213459014892578 seconds
decode step time: 0.022362232208251953 seconds
decode step time: 0.0222017765045166 seconds
decode step time: 0.02192974090576172 seconds
decode step time: 0.021960735321044922 seconds
decode step time: 0.021826505661010742 seconds
decode step time: 0.022034645080566406 seconds
decode step time: 0.022073030471801758 seconds
decode step time: 0.022133350372314453 seconds
decode step time: 0.02209949493408203 seconds
decode step time: 0.039201974868774414 seconds
decode step time: 0.04269242286682129 seconds
decode step time: 0.04310917854309082 seconds
decode step time: 0.043206214904785156 seconds
decode step time: 0.04344940185546875 seconds
decode step time: 0.043674468994140625 seconds
decode step time: 0.04277467727661133 seconds
decode step time: 0.042299747467041016 seconds
decode step time: 0.043588876724243164 seconds
decode step time: 0.04353499412536621 seconds
decode step time: 0.04304647445678711 seconds
