M,N,K | cuBLAS(ms) | CUTLASS(ms) | |Δ|(ms) | ratio(CUTLASS/cuBLAS)
M=   16, N=   16, K=   16 |     0.007 |       0.004 |   0.003 |     0.600
M=   16, N=   16, K=   32 |     0.006 |       0.004 |   0.002 |     0.677
M=   16, N=   16, K=   64 |     0.006 |       0.005 |   0.002 |     0.733
M=   16, N=   16, K=  128 |     0.006 |       0.005 |   0.001 |     0.833
M=   16, N=   16, K=  256 |     0.006 |       0.005 |   0.001 |     0.897
M=   16, N=   16, K=  512 |     0.007 |       0.007 |   0.000 |     1.031
M=   16, N=   16, K= 1024 |     0.008 |       0.009 |   0.001 |     1.100
M=   16, N=   16, K= 2048 |     0.010 |       0.014 |   0.005 |     1.468
M=   16, N=   16, K= 4096 |     0.009 |       0.024 |   0.014 |     2.500
M=   16, N=   16, K= 8192 |     0.010 |       0.043 |   0.033 |     4.265
M=   16, N=   16, K=12288 |     0.010 |       0.062 |   0.052 |     5.941
M=   16, N=   16, K=16384 |     0.012 |       0.081 |   0.070 |     6.965
M=   16, N=   32, K=   16 |     0.006 |       0.004 |   0.002 |     0.667
M=   16, N=   32, K=   32 |     0.006 |       0.004 |   0.002 |     0.667
M=   16, N=   32, K=   64 |     0.006 |       0.005 |   0.002 |     0.710
M=   16, N=   32, K=  128 |     0.007 |       0.005 |   0.001 |     0.781
M=   16, N=   32, K=  256 |     0.006 |       0.006 |   0.001 |     0.871
M=   16, N=   32, K=  512 |     0.007 |       0.007 |   0.001 |     1.094
M=   16, N=   32, K= 1024 |     0.008 |       0.009 |   0.001 |     1.098
M=   16, N=   32, K= 2048 |     0.009 |       0.014 |   0.005 |     1.500
M=   16, N=   32, K= 4096 |     0.010 |       0.024 |   0.013 |     2.275
M=   16, N=   32, K= 8192 |     0.009 |       0.043 |   0.034 |     4.667
M=   16, N=   32, K=12288 |     0.011 |       0.063 |   0.052 |     5.792
M=   16, N=   32, K=16384 |     0.011 |       0.082 |   0.070 |     7.255
M=   16, N=   64, K=   16 |     0.006 |       0.004 |   0.002 |     0.667
M=   16, N=   64, K=   32 |     0.007 |       0.004 |   0.003 |     0.606
