Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,raster_order,runtime_input_datatype_a,runtime_input_datatype_b,use_pdl,enable_sm90_mixed_dtype_shuffle_test,swizzle_size,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_s1688gemm_f16_64x64_32x2_nn_align1,passed,success,universal,1,1,16,f16:column,f16:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,False,False,1,tensorop,f32,64,64,32,1,1,1,0,0,0,2,2,2,1,16,8,8,75,1024,68,34,0,0.00483328,0.0131029,0.00703456
257,CUTLASS,gemm,cutlass_tensorop_s1688gemm_f16_64x64_32x2_nn_align1,passed,success,universal,1,1,32,f16:column,f16:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,False,False,1,tensorop,f32,64,64,32,1,1,1,0,0,0,2,2,2,1,16,8,8,75,1024,132,66,0,0.00467968,0.0262699,0.0141035
513,CUTLASS,gemm,cutlass_tensorop_s1688gemm_f16_64x64_32x2_nn_align1,passed,success,universal,1,1,64,f16:column,f16:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,False,False,1,tensorop,f32,64,64,32,1,1,1,0,0,0,2,2,2,1,16,8,8,75,1024,260,130,0,0.00504832,0.0479652,0.0257511
769,CUTLASS,gemm,cutlass_tensorop_s1688gemm_f16_64x64_32x2_nn_align1,passed,success,universal,1,1,128,f16:column,f16:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,False,False,1,tensorop,f32,64,64,32,1,1,1,0,0,0,2,2,2,1,16,8,8,75,1024,516,258,0,0.0059904,0.0802221,0.0430689
1025,CUTLASS,gemm,cutlass_tensorop_s1688gemm_f16_64x64_32x2_nn_align1,passed,success,universal,1,1,256,f16:column,f16:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,False,False,1,tensorop,f32,64,64,32,1,1,1,0,0,0,2,2,2,1,16,8,8,75,1024,1028,514,0,0.00794624,0.120485,0.0646847
1281,CUTLASS,gemm,cutlass_tensorop_s1688gemm_f16_64x64_32x2_nn_align1,passed,success,universal,1,1,512,f16:column,f16:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,False,False,1,tensorop,f32,64,64,32,1,1,1,0,0,0,2,2,2,1,16,8,8,75,1024,2052,1026,0,0.0125235,0.152599,0.0819258
1537,CUTLASS,gemm,cutlass_tensorop_s1688gemm_f16_64x64_32x2_nn_align1,passed,success,universal,1,1,1024,f16:column,f16:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,False,False,1,tensorop,f32,64,64,32,1,1,1,0,0,0,2,2,2,1,16,8,8,75,1024,4100,2050,0,0.0205312,0.185981,0.099848
1793,CUTLASS,gemm,cutlass_tensorop_s1688gemm_f16_64x64_32x2_nn_align1,passed,success,universal,1,1,2048,f16:column,f16:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,False,False,1,tensorop,f32,64,64,32,1,1,1,0,0,0,2,2,2,1,16,8,8,75,1024,8196,4098,0,0.0364954,0.209153,0.112288
2049,CUTLASS,gemm,cutlass_tensorop_s1688gemm_f16_64x64_32x2_nn_align1,passed,success,universal,1,1,4096,f16:column,f16:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,False,False,1,tensorop,f32,64,64,32,1,1,1,0,0,0,2,2,2,1,16,8,8,75,1024,16388,8194,0,0.0681984,0.223796,0.120149
257,CUTLASS,gemm,cutlass_tensorop_s1688gemm_f16_64x64_32x2_nn_align1,passed,success,universal,1,1,8192,f16:column,f16:column,f32:column,f32:column,1,0,serial,1,1,heuristic,invalid,invalid,False,False,1,tensorop,f32,64,64,32,1,1,1,0,0,0,2,2,2,1,16,8,8,75,1024,32772,16386,0,0.13652,0.223567,0.120027
